<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.73@@1.73,?,256128.0,1048576,✓,✗,52.16 ± 2.19 / 59.27 ± 1.25@@52.16,84.76 ± 1.10 / 75.69 ± 0.91@@84.76,57.69 ± 2.50 / 78.78 ± 1.28@@57.69,68.84 ± 1.00 / 40.91 ± 1.49@@68.84,67.30 ± 4.85 / 74.47 ± 3.84@@67.30,43.67 ± 4.13 / 73.91 ± 2.07@@43.67,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.79@@1.79,?,?,200000,✓,✗,53.28 ± 2.19 / 58.62 ± 1.46@@53.28,76.96 ± 0.51 / 69.97 ± 1.09@@76.96,47.54 ± 3.35 / 71.02 ± 1.81@@47.54,72.33 ± 1.45 / 39.06 ± 1.08@@72.33,60.24 ± 4.68 / 69.57 ± 3.52@@60.24,42.05 ± 5.46 / 71.64 ± 2.80@@42.05,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.91@@1.91,?,?,1047576,✓,✗,50.17 ± 2.33 / 58.23 ± 1.20@@50.17,71.55 ± 1.21 / 54.11 ± 1.21@@71.55,61.16 ± 2.28 / 79.54 ± 1.28@@61.16,72.56 ± 1.38 / 39.82 ± 1.31@@72.56,65.34 ± 4.45 / 73.30 ± 3.51@@65.34,32.31 ± 3.90 / 67.11 ± 1.92@@32.31,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.07@@2.07,?,256128.0,1048576,✓,✗,57.04 ± 1.75 / 67.13 ± 0.39@@57.04,69.85 ± 0.93 / 54.91 ± 1.06@@69.85,52.13 ± 3.90 / 72.04 ± 2.30@@52.13,67.30 ± 1.43 / 36.27 ± 1.35@@67.30,66.78 ± 5.41 / 74.47 ± 4.24@@66.78,28.96 ± 4.42 / 64.77 ± 2.39@@28.96,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.73@@2.73,4022468096.0,151936.0,262144,✓,✗,21.67 ± 0.98 / 41.09 ± 1.13@@21.67,79.44 ± 3.43 / 70.39 ± 2.83@@79.44,35.24 ± 2.00 / 62.77 ± 1.57@@35.24,63.62 ± 0.80 / 37.87 ± 1.48@@63.62,18.75 ± 0.72 / 33.28 ± 0.65@@18.75,49.69 ± 1.33 / 74.80 ± 0.67@@49.69,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,3.07@@3.07,?,?,1047576,✓,✗,55.34 ± 1.81 / 63.85 ± 0.98@@55.34,56.19 ± 1.59 / 48.36 ± 1.82@@56.19,42.32 ± 1.98 / 68.08 ± 1.45@@42.32,59.41 ± 1.04 / 25.87 ± 1.46@@59.41,46.91 ± 5.21 / 59.36 ± 4.00@@46.91,14.90 ± 3.39 / 61.80 ± 1.98@@14.90,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,3.25@@3.25,8888227328.0,131072.0,131072,✓,✗,20.11 ± 0.85 / 41.58 ± 0.73@@20.11,70.69 ± 1.10 / 61.28 ± 1.56@@70.69,28.82 ± 1.69 / 64.34 ± 0.85@@28.82,61.29 ± 1.41 / 37.22 ± 1.83@@61.29,15.78 ± 0.87 / 32.79 ± 0.66@@15.78,27.09 ± 1.87 / 63.55 ± 0.93@@27.09,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,-@@100,8030261248.0,128256.0,131072,✓,✗,19.39 ± 5.09 / 32.17 ± 6.13@@19.39,-@@-1,29.05 ± 2.94 / 59.70 ± 4.71@@29.05,-@@-1,13.89 ± 0.83 / 33.88 ± 2.30@@13.89,8.91 ± 2.36 / 53.99 ± 1.17@@8.91,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,-@@100,1235814400.0,128256.0,131072,✓,✗,27.80 ± 2.39 / 43.92 ± 2.11@@27.80,-@@-1,0.77 ± 1.31 / 33.92 ± 0.49@@0.77,-@@-1,0.35 ± 2.33 / 18.13 ± 5.47@@0.35,1.74 ± 1.88 / 49.53 ± 0.87@@1.74,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,-@@100,70553706496.0,128256.0,131072,✓,✗,42.32 ± 1.03 / 48.63 ± 1.82@@42.32,-@@-1,53.82 ± 1.59 / 75.97 ± 1.00@@53.82,-@@-1,20.62 ± 0.86 / 36.81 ± 0.96@@20.62,49.31 ± 1.56 / 74.63 ± 0.77@@49.31,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,-@@100,134515008.0,49152.0,8192,✓,✗,0.07 ± 0.66 / 17.04 ± 0.80@@0.07,-@@-1,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,-@@-1,-1.78 ± 0.68 / 39.92 ± 13.84@@-1.78,1.54 ± 2.24 / 49.63 ± 1.14@@1.54,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,-@@100,27432406640.0,262144.0,8192,✓,✗,31.58 ± 2.83 / 47.57 ± 2.07@@31.58,-@@-1,64.85 ± 1.91 / 81.78 ± 1.14@@64.85,-@@-1,21.97 ± 0.82 / 35.80 ± 1.24@@21.97,44.23 ± 2.28 / 72.00 ± 1.07@@44.23,16.5.0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,-@@100,24011361280.0,131072.0,8192,✓,✗,28.58 ± 1.84 / 45.23 ± 1.53@@28.58,-@@-1,42.87 ± 5.06 / 68.02 ± 4.27@@42.87,-@@-1,20.61 ± 1.04 / 34.86 ± 1.01@@20.61,45.37 ± 2.32 / 72.69 ± 1.16@@45.37,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,-@@100,12187325040.0,262144.0,8192,✓,✗,24.04 ± 4.90 / 37.51 ± 4.84@@24.04,-@@-1,41.81 ± 7.96 / 61.55 ± 6.83@@41.81,-@@-1,20.52 ± 1.27 / 36.52 ± 1.11@@20.52,40.01 ± 1.78 / 69.99 ± 0.90@@40.01,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,-@@100,3075098624.0,128256.0,65536,✓,✗,23.02 ± 6.14 / 34.33 ± 5.26@@23.02,-@@-1,1.28 ± 1.66 / 33.72 ± 0.52@@1.28,-@@-1,6.04 ± 0.94 / 22.67 ± 2.42@@6.04,2.41 ± 3.11 / 50.05 ± 0.96@@2.41,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,-@@100,361821120.0,49152.0,8192,✓,✗,0.00 ± 0.00 / 16.67 ± 0.19@@0.00,-@@-1,1.06 ± 1.67 / 34.96 ± 2.91@@1.06,-@@-1,-0.12 ± 1.17 / 46.87 ± 12.92@@-0.12,-0.76 ± 2.40 / 49.73 ± 1.03@@-0.76,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,-@@100,4300079472.0,262144.0,8192,✓,✗,29.58 ± 3.54 / 43.67 ± 2.69@@29.58,-@@-1,14.55 ± 3.12 / 42.69 ± 3.89@@14.55,-@@-1,12.34 ± 0.71 / 38.08 ± 1.89@@12.34,6.36 ± 2.45 / 52.97 ± 1.34@@6.36,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,-@@100,999885952.0,262144.0,32768,✓,✗,22.47 ± 5.39 / 39.39 ± 4.43@@22.47,-@@-1,0.16 ± 0.90 / 36.54 ± 2.45@@0.16,-@@-1,-0.48 ± 1.52 / 43.34 ± 11.83@@-0.48,1.10 ± 2.67 / 50.12 ± 1.21@@1.10,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
