<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,1.33@@1.33,32003216384.0,102400.0,131072.0,✗,✗,69.30 ± 1.37 / 76.74 ± 0.98@@69.30,79.58 ± 0.96 / 71.83 ± 0.86@@79.58,67.76 ± 1.27 / 83.60 ± 0.66@@67.76,85.43 ± 0.42 / 71.20 ± 0.76@@85.43,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.34@@1.34,?,?,400000.0,✓,✗,68.60 ± 1.04 / 72.20 ± 0.76@@68.60,80.97 ± 0.51 / 66.23 ± 0.83@@80.97,68.73 ± 1.11 / 83.98 ± 0.58@@68.73,84.71 ± 0.39 / 68.78 ± 0.50@@84.71,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.37@@1.37,72706203648.0,152064.0,32768.0,✗,✗,68.77 ± 2.88 / 74.48 ± 2.35@@68.77,77.02 ± 1.66 / 72.27 ± 2.23@@77.02,67.60 ± 2.36 / 83.48 ± 1.12@@67.60,86.24 ± 0.95 / 70.45 ± 1.24@@86.24,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.38@@1.38,70553706496.0,128256.0,131072.0,✓,✗,68.33 ± 0.56 / 69.37 ± 1.37@@68.33,81.92 ± 1.50 / 79.48 ± 1.04@@81.92,62.56 ± 2.37 / 80.86 ± 1.46@@62.56,87.68 ± 0.86 / 76.44 ± 1.35@@87.68,16.5.0.dev0@@160500,15.7.2@@150702,16.5.0.dev0@@160500,15.7.2@@150702
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#high (zero-shot, val)</a>",🤔,1.39@@1.39,?,?,400000.0,✓,✗,66.56 ± 1.29 / 70.00 ± 0.96@@66.56,85.75 ± 0.54 / 70.66 ± 0.71@@85.75,65.16 ± 1.10 / 81.88 ± 0.56@@65.16,83.65 ± 0.35 / 66.69 ± 0.74@@83.65,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.41@@1.41,?,?,400000.0,✓,✗,69.03 ± 1.74 / 73.41 ± 1.42@@69.03,76.88 ± 1.50 / 57.79 ± 1.08@@76.88,66.75 ± 2.78 / 82.81 ± 1.44@@66.75,82.62 ± 0.70 / 60.35 ± 0.73@@82.62,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,1.44@@1.44,405853388800.0,128256.0,131072.0,✓,✗,66.95 ± 1.86 / 71.55 ± 1.30@@66.95,75.24 ± 1.89 / 73.47 ± 1.96@@75.24,64.62 ± 3.34 / 81.62 ± 2.26@@64.62,89.95 ± 1.37 / 80.96 ± 2.34@@89.95,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🤔,1.44@@1.44,9653100528.0,248044.0,8192.0,✓,✗,64.85 ± 1.15 / 67.55 ± 1.10@@64.85,85.05 ± 1.06 / 72.58 ± 1.50@@85.05,64.69 ± 2.71 / 81.43 ± 1.50@@64.69,81.42 ± 0.48 / 65.77 ± 0.47@@81.42,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.46@@1.46,?,?,?,✓,✗,68.99 ± 2.12 / 67.48 ± 1.80@@68.99,89.97 ± 0.92 / 83.83 ± 0.93@@89.97,51.40 ± 3.85 / 73.77 ± 1.98@@51.40,83.56 ± 0.87 / 64.60 ± 1.63@@83.56,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,1.48@@1.48,70553706496.0,128256.0,8192.0,✓,✗,69.13 ± 0.76 / 68.29 ± 0.97@@69.13,82.88 ± 1.45 / 80.30 ± 1.26@@82.88,54.25 ± 2.67 / 76.03 ± 1.77@@54.25,88.09 ± 1.11 / 77.58 ± 1.77@@88.09,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.48@@1.48,?,?,200000.0,✓,✗,70.16 ± 2.74 / 68.98 ± 2.79@@70.16,88.59 ± 1.36 / 87.44 ± 0.96@@88.59,49.86 ± 3.26 / 72.82 ± 1.77@@49.86,84.81 ± 0.37 / 65.71 ± 0.92@@84.81,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,1.49@@1.49,?,100256.0,272000.0,✓,✗,67.72 ± 2.34 / 67.49 ± 1.59@@67.72,88.60 ± 1.07 / 78.89 ± 1.65@@88.60,50.75 ± 4.34 / 72.86 ± 2.50@@50.75,84.07 ± 0.47 / 67.93 ± 1.15@@84.07,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.50@@1.50,?,?,400000.0,✓,✗,66.29 ± 0.75 / 71.61 ± 0.66@@66.29,71.14 ± 0.64 / 55.09 ± 0.57@@71.14,68.83 ± 1.47 / 84.36 ± 0.73@@68.83,85.51 ± 0.34 / 67.49 ± 0.50@@85.51,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.50@@1.50,70553706496.0,128256.0,131072.0,✓,✗,69.82 ± 0.76 / 72.60 ± 0.64@@69.82,81.54 ± 1.45 / 76.28 ± 0.90@@81.54,54.83 ± 2.96 / 75.32 ± 2.17@@54.83,83.34 ± 0.71 / 62.81 ± 1.87@@83.34,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901,15.9.1@@150901
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.51@@1.51,4022468096.0,151936.0,262144.0,✓,✗,66.82 ± 0.52 / 65.41 ± 1.30@@66.82,86.34 ± 1.34 / 80.47 ± 1.09@@86.34,55.76 ± 1.38 / 76.21 ± 0.96@@55.76,80.25 ± 0.78 / 65.41 ± 1.02@@80.25,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.51@@1.51,24011361280.0,131072.0,8192.0,✓,✗,66.39 ± 1.52 / 72.11 ± 1.03@@66.39,77.68 ± 1.53 / 74.59 ± 1.12@@77.68,59.27 ± 1.87 / 79.33 ± 1.26@@59.27,86.44 ± 1.26 / 72.47 ± 2.52@@86.44,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.51@@1.51,32759790592.0,151665.0,131072.0,✓,✗,69.76 ± 0.47 / 71.68 ± 0.50@@69.76,79.54 ± 0.97 / 71.92 ± 1.02@@79.54,53.90 ± 1.32 / 74.18 ± 1.02@@53.90,87.16 ± 0.37 / 71.26 ± 1.07@@87.16,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.52@@1.52,235107904512.0,151936.0,262144.0,✓,✗,69.36 ± 1.07 / 73.30 ± 0.72@@69.36,79.35 ± 0.88 / 67.90 ± 2.14@@79.35,56.49 ± 2.07 / 76.98 ± 1.40@@56.49,82.30 ± 0.94 / 63.12 ± 1.96@@82.30,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.52@@1.52,70553706496.0,128256.0,131072.0,✓,✗,69.29 ± 0.76 / 72.62 ± 0.55@@69.29,81.56 ± 1.47 / 76.46 ± 0.67@@81.56,54.78 ± 2.77 / 75.77 ± 1.99@@54.78,82.35 ± 0.92 / 60.77 ± 2.30@@82.35,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.53@@1.53,?,?,200000.0,✓,✗,68.52 ± 1.91 / 68.53 ± 1.14@@68.52,86.49 ± 0.97 / 78.67 ± 0.99@@86.49,51.94 ± 4.06 / 74.20 ± 2.27@@51.94,81.43 ± 0.52 / 62.39 ± 1.41@@81.43,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/microsoft/deberta-v3-base'>microsoft/deberta-v3-base</a>,🔍,1.53@@1.53,184424451.0,128100.0,512.0,✓,✗,62.47 ± 1.00 / 56.90 ± 1.61@@62.47,89.35 ± 0.62 / 89.10 ± 0.67@@89.35,62.50 ± 1.54 / 80.54 ± 0.81@@62.50,74.34 ± 0.90 / 61.14 ± 1.05@@74.34,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,1.53@@1.53,70553706496.0,128256.0,8192.0,✓,✗,68.75 ± 1.25 / 72.99 ± 0.97@@68.75,79.00 ± 1.91 / 74.96 ± 1.10@@79.00,56.76 ± 1.84 / 77.80 ± 1.20@@56.76,82.71 ± 0.73 / 63.40 ± 2.06@@82.71,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,1.54@@1.54,405868625920.0,128256.0,131072.0,✓,✗,70.29 ± 0.95 / 72.68 ± 0.87@@70.29,80.88 ± 1.05 / 79.54 ± 1.17@@80.88,54.27 ± 1.41 / 76.57 ± 0.84@@54.27,82.26 ± 0.55 / 62.58 ± 1.40@@82.26,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/intfloat/multilingual-e5-large-instruct'>intfloat/multilingual-e5-large-instruct</a>,🔍,1.54@@1.54,559890432.0,250002.0,514.0,✓,✗,66.42 ± 1.01 / 64.56 ± 1.33@@66.42,91.43 ± 0.52 / 91.15 ± 0.44@@91.43,53.05 ± 12.06 / 75.49 ± 6.21@@53.05,74.85 ± 1.26 / 61.34 ± 1.79@@74.85,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,1.54@@1.54,26123974400.0,200192.0,131072.0,✗,✗,66.45 ± 0.83 / 70.74 ± 0.78@@66.45,74.59 ± 0.88 / 59.41 ± 1.08@@74.59,60.57 ± 1.72 / 80.00 ± 0.90@@60.57,83.82 ± 0.70 / 69.37 ± 0.87@@83.82,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,1.54@@1.54,32233522176.0,100278.0,65536.0,✗,✗,67.02 ± 1.43 / 72.90 ± 0.94@@67.02,74.17 ± 0.99 / 69.31 ± 0.76@@74.17,61.04 ± 2.05 / 79.69 ± 1.24@@61.04,83.40 ± 3.70 / 68.23 ± 4.10@@83.40,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🤔,1.54@@1.54,4659861248.0,248044.0,8192.0,✓,✗,66.18 ± 1.29 / 69.56 ± 1.38@@66.18,84.60 ± 0.91 / 74.01 ± 1.06@@84.60,54.37 ± 1.26 / 76.83 ± 0.64@@54.37,81.86 ± 0.60 / 65.03 ± 0.48@@81.86,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.55@@1.55,81324862720.0,151936.0,262144.0,✓,✗,69.82 ± 1.04 / 72.48 ± 0.97@@69.82,80.39 ± 1.36 / 70.26 ± 0.83@@80.39,53.09 ± 2.57 / 74.58 ± 1.76@@53.09,82.73 ± 0.68 / 62.24 ± 1.72@@82.73,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,1.55@@1.55,70553706496.0,128256.0,131072.0,✓,✗,69.96 ± 0.89 / 72.99 ± 0.72@@69.96,83.16 ± 0.92 / 78.18 ± 0.71@@83.16,50.83 ± 1.22 / 74.22 ± 0.70@@50.83,81.99 ± 0.50 / 60.82 ± 1.25@@81.99,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.56@@1.56,?,?,400000.0,✓,✗,62.69 ± 1.20 / 66.80 ± 0.98@@62.69,75.91 ± 0.86 / 53.14 ± 0.67@@75.91,65.14 ± 1.04 / 81.29 ± 0.54@@65.14,82.31 ± 0.39 / 61.28 ± 0.72@@82.31,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.56@@1.56,235107904512.0,151936.0,262144.0,✓,✗,70.26 ± 1.16 / 68.21 ± 1.08@@70.26,88.15 ± 1.05 / 85.77 ± 0.80@@88.15,43.19 ± 1.20 / 64.95 ± 0.93@@43.19,84.06 ± 0.37 / 68.64 ± 0.77@@84.06,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.57@@1.57,?,?,200000.0,✓,✗,69.02 ± 1.78 / 71.41 ± 1.69@@69.02,84.28 ± 1.60 / 79.29 ± 2.19@@84.28,52.93 ± 4.64 / 75.50 ± 2.47@@52.93,76.94 ± 1.25 / 56.23 ± 1.75@@76.94,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,1.57@@1.57,559890946.0,250002.0,512.0,✓,✗,64.37 ± 1.28 / 65.16 ± 2.10@@64.37,91.69 ± 0.67 / 91.29 ± 0.54@@91.69,53.58 ± 10.20 / 74.70 ± 7.53@@53.58,73.00 ± 1.37 / 60.47 ± 1.61@@73.00,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.57@@1.57,72706203648.0,152064.0,32768.0,✓,✗,68.66 ± 1.08 / 74.39 ± 0.68@@68.66,75.84 ± 1.19 / 69.70 ± 0.91@@75.84,56.46 ± 2.43 / 76.75 ± 1.60@@56.46,81.86 ± 0.68 / 58.39 ± 1.84@@81.86,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,1.58@@1.58,?,100256.0,272000.0,✓,✗,70.36 ± 2.43 / 70.23 ± 1.85@@70.36,85.59 ± 0.91 / 75.76 ± 1.12@@85.59,43.63 ± 4.16 / 68.34 ± 2.31@@43.63,83.74 ± 0.37 / 65.35 ± 0.99@@83.74,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500,15.15.0.dev0@@151500
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.58@@1.58,70553706496.0,128256.0,131072.0,✓,✗,71.07 ± 0.91 / 72.62 ± 0.74@@71.07,82.35 ± 0.76 / 76.42 ± 0.70@@82.35,51.27 ± 1.18 / 74.25 ± 0.77@@51.27,76.00 ± 0.67 / 50.23 ± 1.33@@76.00,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,1.58@@1.58,32207337984.0,100352.0,131072.0,✓,✗,68.77 ± 1.33 / 73.07 ± 0.81@@68.77,76.10 ± 1.47 / 71.09 ± 1.38@@76.10,56.06 ± 1.14 / 77.76 ± 0.66@@56.06,83.75 ± 1.36 / 70.05 ± 2.19@@83.75,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,1.58@@1.58,70553706496.0,128256.0,8192.0,✓,✗,69.73 ± 1.07 / 72.22 ± 0.67@@69.73,80.76 ± 0.92 / 75.73 ± 0.43@@80.76,51.54 ± 1.94 / 74.39 ± 1.17@@51.54,80.76 ± 0.62 / 58.29 ± 1.37@@80.76,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,1.58@@1.58,31577937344.0,131072.0,262144.0,✓,✗,67.20 ± 0.91 / 69.15 ± 0.65@@67.20,69.48 ± 1.33 / 63.79 ± 1.63@@69.48,57.95 ± 1.52 / 78.42 ± 1.06@@57.95,92.09 ± 0.48 / 84.09 ± 0.85@@92.09,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.59@@1.59,24011361280.0,131072.0,8192.0,✓,✗,66.79 ± 1.24 / 72.37 ± 0.70@@66.79,77.02 ± 2.10 / 73.21 ± 1.48@@77.02,51.08 ± 2.80 / 75.06 ± 1.47@@51.08,88.59 ± 1.07 / 77.22 ± 2.01@@88.59,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,1.59@@1.59,34388917248.0,64000.0,4096.0,✓,✗,69.38 ± 0.67 / 70.87 ± 1.59@@69.38,72.60 ± 1.57 / 69.16 ± 1.39@@72.60,54.11 ± 3.18 / 76.57 ± 1.61@@54.11,88.19 ± 1.09 / 77.54 ± 2.12@@88.19,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
