<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,2.24@@2.24,24261800960.0,131072.0,8192.0,✓,✗,84.77 ± 0.46 / 92.36 ± 0.23@@84.77,61.20 ± 1.86 / 55.63 ± 2.02@@61.20,30.96 ± 4.69 / 62.08 ± 4.25@@30.96,76.03 ± 1.22 / 56.56 ± 1.80@@76.03,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.26@@2.26,22637328384.0,128000.0,32768.0,✓,✗,83.58 ± 0.79 / 91.73 ± 0.41@@83.58,46.93 ± 2.22 / 35.71 ± 1.44@@46.93,55.09 ± 2.85 / 76.46 ± 1.98@@55.09,35.85 ± 3.91 / 14.74 ± 2.98@@35.85,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,2.29@@2.29,24011361280.0,131072.0,8192.0,✓,✗,84.79 ± 0.91 / 92.38 ± 0.45@@84.79,56.90 ± 2.03 / 49.89 ± 1.59@@56.90,28.02 ± 3.47 / 60.30 ± 3.01@@28.02,78.22 ± 1.08 / 59.46 ± 1.39@@78.22,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.32@@2.32,32233522176.0,100278.0,65536.0,✗,✗,78.71 ± 0.80 / 89.32 ± 0.39@@78.71,49.13 ± 1.53 / 43.01 ± 1.81@@49.13,38.51 ± 1.84 / 68.73 ± 1.03@@38.51,76.18 ± 2.81 / 56.94 ± 3.34@@76.18,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,2.33@@2.33,32759790592.0,151665.0,131072.0,✓,✗,85.00 ± 0.60 / 92.49 ± 0.30@@85.00,60.12 ± 2.01 / 54.79 ± 1.27@@60.12,26.40 ± 3.38 / 52.06 ± 3.38@@26.40,79.44 ± 0.95 / 60.60 ± 1.32@@79.44,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/NovaSky-AI/Sky-T1-32B-Preview'>NovaSky-AI/Sky-T1-32B-Preview</a>,📝,2.35@@2.35,32763876352.0,152064.0,32768.0,✓,✗,82.26 ± 1.28 / 90.85 ± 0.70@@82.26,55.45 ± 1.59 / 47.90 ± 1.47@@55.45,30.16 ± 3.98 / 55.41 ± 4.27@@30.16,78.11 ± 0.76 / 55.44 ± 1.23@@78.11,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,2.35@@2.35,70553706496.0,128256.0,131072.0,✓,✗,84.70 ± 0.77 / 92.31 ± 0.39@@84.70,56.40 ± 2.04 / 45.80 ± 1.55@@56.40,27.29 ± 3.95 / 56.34 ± 3.72@@27.29,71.60 ± 1.04 / 46.52 ± 1.78@@71.60,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.38@@2.38,24011361280.0,131072.0,?,✓,✗,83.96 ± 0.95 / 91.90 ± 0.51@@83.96,60.73 ± 2.15 / 56.39 ± 1.97@@60.73,22.48 ± 3.96 / 58.19 ± 2.54@@22.48,77.38 ± 1.50 / 55.65 ± 2.39@@77.38,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,2.39@@2.39,?,?,?,✓,✗,88.86 ± 1.43 / 94.36 ± 0.75@@88.86,61.29 ± 3.58 / 51.52 ± 4.10@@61.29,24.00 ± 3.18 / 46.68 ± 1.86@@24.00,71.79 ± 0.81 / 47.05 ± 1.26@@71.79,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.40@@2.40,14765947904.0,151665.0,131072.0,✓,✗,84.58 ± 0.88 / 92.26 ± 0.45@@84.58,52.44 ± 2.20 / 44.37 ± 1.30@@52.44,31.16 ± 3.74 / 58.12 ± 3.75@@31.16,74.50 ± 0.87 / 52.60 ± 0.93@@74.50,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,2.40@@2.40,81324862720.0,151936.0,262144.0,✓,✗,81.89 ± 1.05 / 90.88 ± 0.55@@81.89,54.95 ± 2.12 / 44.61 ± 1.62@@54.95,32.19 ± 5.29 / 60.93 ± 5.68@@32.19,71.70 ± 0.62 / 47.22 ± 1.12@@71.70,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.41@@2.41,21511953984.0,201088.0,131072.0,✓,✗,75.95 ± 1.13 / 87.82 ± 0.62@@75.95,47.62 ± 1.70 / 42.85 ± 2.37@@47.62,41.06 ± 1.07 / 65.36 ± 0.90@@41.06,67.22 ± 1.03 / 41.26 ± 1.35@@67.22,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,2.42@@2.42,14659507200.0,100352.0,16384.0,✓,✗,83.37 ± 0.72 / 91.67 ± 0.36@@83.37,48.70 ± 2.05 / 41.87 ± 1.59@@48.70,30.13 ± 3.32 / 60.55 ± 4.14@@30.13,76.93 ± 0.78 / 53.14 ± 1.66@@76.93,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.45@@2.45,21511953984.0,201088.0,131072.0,✓,✗,76.94 ± 1.14 / 88.39 ± 0.58@@76.94,46.31 ± 1.94 / 41.04 ± 2.63@@46.31,40.16 ± 1.84 / 66.18 ± 1.12@@40.16,66.00 ± 0.86 / 39.55 ± 1.00@@66.00,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700
<a href='https://hf.co/bullerwins/Magistral-Small-2506-fp8'>bullerwins/Magistral-Small-2506-fp8</a>,🧠,2.46@@2.46,23575680000.0,131072.0,32768.0,✓,✗,83.29 ± 0.73 / 91.59 ± 0.38@@83.29,57.75 ± 2.51 / 50.68 ± 1.97@@57.75,20.04 ± 4.45 / 54.98 ± 4.43@@20.04,76.41 ± 1.58 / 56.23 ± 2.11@@76.41,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,2.46@@2.46,235107904512.0,151936.0,262144.0,✓,✗,85.07 ± 0.72 / 92.51 ± 0.37@@85.07,50.67 ± 1.77 / 40.80 ± 1.82@@50.67,29.34 ± 4.04 / 56.80 ± 4.20@@29.34,71.36 ± 1.12 / 48.23 ± 1.47@@71.36,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,2.46@@2.46,70553706496.0,128256.0,8192.0,✓,✗,84.09 ± 0.78 / 92.03 ± 0.39@@84.09,56.19 ± 2.24 / 45.90 ± 1.81@@56.19,25.36 ± 2.58 / 54.72 ± 3.69@@25.36,73.35 ± 0.87 / 50.01 ± 1.80@@73.35,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.48@@2.48,30532122624.0,151936.0,262144.0,✓,✗,83.24 ± 0.63 / 91.61 ± 0.31@@83.24,46.67 ± 2.65 / 39.75 ± 2.43@@46.67,27.05 ± 2.69 / 61.18 ± 2.69@@27.05,74.23 ± 0.68 / 52.97 ± 1.11@@74.23,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,2.51@@2.51,108641793536.0,200000.0,?,✓,✗,80.37 ± 0.91 / 90.12 ± 0.44@@80.37,49.21 ± 2.10 / 47.33 ± 1.81@@49.21,28.03 ± 2.33 / 60.99 ± 2.35@@28.03,70.35 ± 1.10 / 40.23 ± 1.16@@70.35,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/CohereForAI/c4ai-command-r-08-2024'>CohereForAI/c4ai-command-r-08-2024</a>,📝,2.53@@2.53,32296476672.0,256000.0,131072.0,✗,✗,83.72 ± 1.04 / 91.80 ± 0.54@@83.72,54.20 ± 1.65 / 46.45 ± 1.45@@54.20,22.84 ± 2.79 / 55.13 ± 4.05@@22.84,72.83 ± 0.90 / 52.00 ± 1.01@@72.83,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.55@@2.55,72706203648.0,152064.0,32768.0,✓,✗,83.05 ± 0.87 / 91.43 ± 0.47@@83.05,53.07 ± 1.69 / 42.61 ± 1.83@@53.07,24.07 ± 2.36 / 54.70 ± 3.62@@24.07,75.66 ± 0.86 / 51.75 ± 1.48@@75.66,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/QwQ-32B'>Qwen/QwQ-32B</a>,🤔,2.55@@2.55,32763876352.0,152064.0,40960.0,✓,✗,84.31 ± 0.62 / 92.13 ± 0.32@@84.31,58.10 ± 1.60 / 52.69 ± 1.99@@58.10,18.66 ± 0.79 / 43.53 ± 0.53@@18.66,70.55 ± 1.12 / 52.46 ± 1.31@@70.55,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,2.55@@2.55,34388917248.0,64000.0,4096.0,✓,✗,79.91 ± 1.43 / 89.58 ± 0.89@@79.91,50.78 ± 2.51 / 47.13 ± 1.87@@50.78,26.57 ± 2.04 / 61.86 ± 2.04@@26.57,77.91 ± 1.31 / 61.30 ± 1.62@@77.91,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/microsoft/deberta-v3-large'>microsoft/deberta-v3-large</a>,🔍,2.58@@2.58,435063810.0,128100.0,512.0,✓,✗,63.12 ± 13.82 / 79.65 ± 10.01@@63.12,76.42 ± 1.40 / 77.77 ± 0.66@@76.42,28.28 ± 13.34 / 60.38 ± 9.05@@28.28,37.18 ± 1.65 / 29.35 ± 1.77@@37.18,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,2.58@@2.58,23572403200.0,131072.0,32768.0,✓,✗,82.00 ± 1.05 / 90.93 ± 0.52@@82.00,53.41 ± 2.35 / 44.27 ± 1.99@@53.41,21.61 ± 1.94 / 46.33 ± 1.59@@21.61,74.59 ± 1.20 / 52.92 ± 1.53@@74.59,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,2.60@@2.60,32762123264.0,151936.0,40960.0,✓,✗,84.02 ± 0.96 / 91.94 ± 0.51@@84.02,50.45 ± 1.74 / 44.21 ± 1.78@@50.45,22.48 ± 2.03 / 50.43 ± 2.08@@22.48,79.03 ± 0.79 / 60.60 ± 1.59@@79.03,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,2.61@@2.61,70553706496.0,128256.0,8192.0,✓,✗,81.87 ± 1.16 / 90.84 ± 0.62@@81.87,52.47 ± 2.16 / 38.85 ± 1.76@@52.47,24.44 ± 2.40 / 54.35 ± 3.15@@24.44,69.06 ± 0.87 / 43.01 ± 1.70@@69.06,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,2.61@@2.61,27227128320.0,256000.0,8192.0,✓,✗,84.21 ± 0.65 / 92.05 ± 0.35@@84.21,45.14 ± 1.88 / 43.36 ± 2.85@@45.14,22.89 ± 3.02 / 55.92 ± 4.29@@22.89,78.36 ± 1.55 / 62.61 ± 2.28@@78.36,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.62@@2.62,32234279936.0,100352.0,4096.0,✗,✗,79.73 ± 0.99 / 89.60 ± 0.60@@79.73,45.66 ± 1.99 / 30.07 ± 1.90@@45.66,28.50 ± 1.83 / 63.74 ± 1.17@@28.50,65.44 ± 0.73 / 35.06 ± 1.09@@65.44,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.62@@2.62,70553706496.0,128256.0,131072.0,✓,✗,84.77 ± 0.76 / 92.37 ± 0.38@@84.77,57.46 ± 1.38 / 48.18 ± 1.29@@57.46,17.97 ± 1.16 / 46.40 ± 1.15@@17.97,71.19 ± 1.03 / 43.73 ± 1.88@@71.19,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.62@@2.62,?,?,?,✓,✗,86.00 ± 1.60 / 92.72 ± 0.93@@86.00,54.14 ± 2.50 / 48.04 ± 2.14@@54.14,19.43 ± 2.60 / 43.84 ± 2.14@@19.43,72.70 ± 0.98 / 46.37 ± 1.32@@72.70,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/CohereForAI/aya-expanse-32b'>CohereForAI/aya-expanse-32b</a>,📝,2.63@@2.63,32296476672.0,256000.0,8192.0,✗,✗,82.57 ± 0.91 / 91.25 ± 0.47@@82.57,48.22 ± 1.77 / 40.47 ± 1.41@@48.22,23.03 ± 2.72 / 59.47 ± 2.96@@23.03,73.70 ± 0.76 / 51.88 ± 1.10@@73.70,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,2.63@@2.63,30532122624.0,151936.0,40960.0,✓,✗,80.95 ± 1.02 / 90.24 ± 0.56@@80.95,52.49 ± 2.18 / 48.50 ± 2.36@@52.49,21.93 ± 2.95 / 51.39 ± 3.34@@21.93,75.63 ± 0.82 / 55.05 ± 1.31@@75.63,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.64@@2.64,8030261248.0,128256.0,131072.0,✓,✗,81.45 ± 0.92 / 90.59 ± 0.54@@81.45,46.16 ± 2.64 / 38.03 ± 2.88@@46.16,23.39 ± 3.82 / 56.50 ± 3.78@@23.39,77.08 ± 1.51 / 60.04 ± 1.48@@77.08,16.5.0.dev0@@160500,15.13.0@@151300,16.5.0.dev0@@160500,15.13.0@@151300
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,2.66@@2.66,51570323328.0,65536.0,262144.0,✓,✗,83.67 ± 0.83 / 91.81 ± 0.42@@83.67,40.19 ± 2.60 / 30.93 ± 2.09@@40.19,26.68 ± 3.24 / 61.40 ± 2.77@@26.68,74.65 ± 1.62 / 58.24 ± 2.12@@74.65,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,2.66@@2.66,405868625920.0,128256.0,131072.0,✓,✗,85.00 ± 0.42 / 92.48 ± 0.20@@85.00,51.31 ± 2.44 / 48.31 ± 1.95@@51.31,18.35 ± 2.20 / 50.87 ± 2.43@@18.35,74.19 ± 1.43 / 51.63 ± 2.48@@74.19,15.12.0@@151200,15.12.0@@151200,15.12.0@@151200,15.12.0.dev0@@151200
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,2.67@@2.67,?,100256.0,272000.0,✓,✗,88.20 ± 1.63 / 94.00 ± 0.87@@88.20,43.09 ± 2.66 / 38.53 ± 2.81@@43.09,22.79 ± 2.81 / 46.08 ± 1.92@@22.79,70.41 ± 1.45 / 50.35 ± 1.79@@70.41,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,2.67@@2.67,27227128320.0,256000.0,8192.0,✓,✗,81.62 ± 1.66 / 90.49 ± 0.95@@81.62,44.15 ± 2.51 / 36.15 ± 2.32@@44.15,26.46 ± 3.95 / 57.05 ± 3.43@@26.46,73.31 ± 0.83 / 51.18 ± 1.16@@73.31,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,2.67@@2.67,14768307200.0,151936.0,40960.0,✓,✗,80.14 ± 0.95 / 89.92 ± 0.51@@80.14,51.24 ± 2.06 / 43.98 ± 2.32@@51.24,19.67 ± 1.53 / 47.05 ± 1.25@@19.67,78.55 ± 0.81 / 61.23 ± 1.17@@78.55,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31</a>,🤔,2.67@@2.67,?,?,200000.0,✓,✗,81.97 ± 0.87 / 90.95 ± 0.44@@81.97,57.18 ± 2.83 / 50.10 ± 2.62@@57.18,18.61 ± 0.99 / 45.97 ± 0.62@@18.61,67.30 ± 1.12 / 41.11 ± 1.13@@67.30,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,2.68@@2.68,?,?,200000.0,✓,✗,84.39 ± 1.47 / 92.01 ± 0.81@@84.39,51.86 ± 2.63 / 46.51 ± 3.03@@51.86,22.41 ± 2.82 / 46.02 ± 1.97@@22.41,64.81 ± 1.23 / 38.85 ± 1.18@@64.81,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,2.68@@2.68,14768307200.0,151936.0,40960.0,✓,✗,79.46 ± 1.18 / 89.64 ± 0.63@@79.46,52.06 ± 1.38 / 46.26 ± 1.46@@52.06,18.06 ± 1.19 / 44.74 ± 0.69@@18.06,76.54 ± 0.65 / 57.73 ± 1.05@@76.54,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
