<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=11 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.49@@1.49,?,100256.0,272000.0,✓,✗,52.39 ± 2.18 / 65.14 ± 1.48@@52.39,71.96 ± 1.86 / 71.96 ± 1.86@@71.96,62.03 ± 1.02 / 35.70 ± 1.36@@62.03,27.72 ± 0.20 / 33.57 ± 0.24@@27.72,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.50@@1.50,?,?,1047576.0,✓,✗,47.63 ± 2.99 / 62.06 ± 2.06@@47.63,72.72 ± 1.79 / 72.72 ± 1.79@@72.72,63.06 ± 1.15 / 27.19 ± 1.93@@63.06,29.40 ± 0.27 / 34.60 ± 0.30@@29.40,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.52@@1.52,?,100256.0,272000.0,✓,✗,53.18 ± 1.49 / 67.39 ± 1.21@@53.18,74.78 ± 1.74 / 74.78 ± 1.74@@74.78,60.33 ± 1.14 / 32.64 ± 1.85@@60.33,25.59 ± 0.26 / 31.97 ± 0.30@@25.59,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.53@@1.53,32762123264.0,151936.0,40960.0,✓,✗,41.76 ± 0.96 / 60.61 ± 0.95@@41.76,67.87 ± 1.83 / 67.87 ± 1.83@@67.87,70.93 ± 1.44 / 46.23 ± 2.16@@70.93,30.36 ± 0.12 / 34.67 ± 0.17@@30.36,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.54@@1.54,27432406640.0,262144.0,8192.0,✓,✗,41.44 ± 1.41 / 58.87 ± 1.70@@41.44,70.25 ± 2.81 / 70.25 ± 2.81@@70.25,74.64 ± 2.62 / 54.12 ± 4.23@@74.64,27.49 ± 2.14 / 29.69 ± 3.27@@27.49,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.55@@1.55,12187325040.0,262144.0,8192.0,✓,✗,46.37 ± 1.52 / 64.21 ± 0.95@@46.37,66.84 ± 1.79 / 66.84 ± 1.79@@66.84,66.03 ± 1.11 / 38.12 ± 1.91@@66.03,30.06 ± 0.12 / 34.43 ± 0.11@@30.06,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.55@@1.55,70553706496.0,128256.0,131072.0,✓,✗,45.07 ± 1.66 / 60.08 ± 1.79@@45.07,68.47 ± 1.63 / 68.47 ± 1.63@@68.47,71.84 ± 2.96 / 49.23 ± 4.62@@71.84,25.55 ± 2.35 / 26.96 ± 3.15@@25.55,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.55@@1.55,27432406640.0,262144.0,8192.0,✓,✗,45.81 ± 0.93 / 63.12 ± 0.51@@45.81,68.07 ± 1.92 / 68.07 ± 1.92@@68.07,65.55 ± 1.27 / 39.54 ± 2.31@@65.55,29.48 ± 0.17 / 33.80 ± 0.17@@29.48,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.55@@1.55,24011361280.0,131072.0,8192.0,✓,✗,43.41 ± 1.79 / 60.85 ± 1.39@@43.41,69.23 ± 2.85 / 69.23 ± 2.85@@69.23,72.72 ± 2.03 / 48.29 ± 3.19@@72.72,26.80 ± 2.47 / 28.53 ± 3.55@@26.80,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.56@@1.56,?,?,200000.0,✓,✗,47.52 ± 2.32 / 60.46 ± 1.62@@47.52,68.91 ± 1.93 / 68.91 ± 1.93@@68.91,64.50 ± 0.84 / 29.47 ± 1.59@@64.50,28.31 ± 0.21 / 34.11 ± 0.23@@28.31,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,1.56@@1.56,32003216384.0,102400.0,131072.0,✗,✗,37.85 ± 1.60 / 57.45 ± 1.13@@37.85,68.94 ± 1.10 / 68.94 ± 1.10@@68.94,73.00 ± 0.83 / 46.57 ± 1.38@@73.00,30.55 ± 0.12 / 34.79 ± 0.15@@30.55,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-6 (zero-shot, val)</a>",🤔,1.56@@1.56,?,?,?,✓,✗,46.06 ± 1.29 / 62.33 ± 0.85@@46.06,72.26 ± 0.83 / 72.26 ± 0.83@@72.26,64.69 ± 0.39 / 32.16 ± 0.64@@64.69,27.78 ± 0.06 / 33.60 ± 0.06@@27.78,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.58@@1.58,?,256128.0,1048576.0,✓,✗,47.89 ± 1.51 / 63.18 ± 0.83@@47.89,67.53 ± 1.66 / 67.53 ± 1.66@@67.53,64.05 ± 0.87 / 34.86 ± 1.17@@64.05,27.42 ± 0.30 / 33.80 ± 0.33@@27.42,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.7.0.dev0@@160700,16.15.0.dev0@@161500
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,1.62@@1.62,3349227520.0,262144.0,500000.0,✗,✗,49.41 ± 2.32 / 62.32 ± 1.48@@49.41,55.77 ± 2.25 / 55.77 ± 2.25@@55.77,67.43 ± 0.94 / 44.55 ± 1.83@@67.43,29.80 ± 0.19 / 34.20 ± 0.26@@29.80,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,1.62@@1.62,3349227520.0,262144.0,500000.0,✗,✗,49.63 ± 2.13 / 62.90 ± 1.45@@49.63,55.17 ± 2.31 / 55.17 ± 2.31@@55.17,67.41 ± 1.50 / 44.76 ± 2.12@@67.41,29.83 ± 0.17 / 34.19 ± 0.22@@29.83,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,1.63@@1.63,2274067232.0,248044.0,8192.0,✓,✗,44.86 ± 2.89 / 61.56 ± 2.86@@44.86,65.20 ± 1.79 / 65.20 ± 1.79@@65.20,62.96 ± 1.28 / 38.32 ± 2.05@@62.96,29.81 ± 0.28 / 34.97 ± 0.33@@29.81,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/mistralai/Ministral-3-8B-Reasoning-2512'>mistralai/Ministral-3-8B-Reasoning-2512</a>,🤔,1.64@@1.64,8918026240.0,131072.0,8192.0,✓,✗,36.61 ± 0.69 / 55.40 ± 1.01@@36.61,66.09 ± 1.33 / 66.09 ± 1.33@@66.09,73.88 ± 1.12 / 54.71 ± 1.77@@73.88,28.61 ± 0.86 / 33.64 ± 1.12@@28.61,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,1.67@@1.67,7849978192.0,262400.0,8192.0,✓,✗,40.66 ± 0.80 / 60.37 ± 0.57@@40.66,65.99 ± 1.80 / 65.99 ± 1.80@@65.99,64.75 ± 1.22 / 33.80 ± 2.40@@64.75,29.93 ± 0.08 / 35.18 ± 0.09@@29.93,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,1.67@@1.67,12187325040.0,262144.0,8192.0,✓,✗,36.16 ± 1.88 / 56.09 ± 1.77@@36.16,67.57 ± 2.72 / 67.57 ± 2.72@@67.57,73.53 ± 2.76 / 55.68 ± 4.25@@73.53,26.37 ± 2.32 / 28.16 ± 3.39@@26.37,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.67@@1.67,4022468096.0,151936.0,262144.0,✓,✗,41.24 ± 1.51 / 58.83 ± 1.42@@41.24,67.16 ± 1.32 / 67.16 ± 1.32@@67.16,63.92 ± 1.24 / 40.61 ± 0.82@@63.92,28.73 ± 0.76 / 33.19 ± 0.74@@28.73,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.16.1.dev0@@161601
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,1.68@@1.68,8190735360.0,151936.0,40960.0,✓,✗,39.50 ± 1.63 / 59.50 ± 1.32@@39.50,63.06 ± 1.72 / 63.06 ± 1.72@@63.06,66.64 ± 1.83 / 41.39 ± 2.39@@66.64,30.60 ± 0.13 / 35.12 ± 0.18@@30.60,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,1.73@@1.73,4022468096.0,151936.0,262144.0,✗,✗,38.42 ± 1.27 / 57.25 ± 1.00@@38.42,63.11 ± 1.72 / 63.11 ± 1.72@@63.11,69.09 ± 2.67 / 47.56 ± 3.50@@69.09,29.11 ± 1.19 / 32.26 ± 1.66@@29.11,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,1.75@@1.75,3191396096.0,100352.0,131072.0,✓,✗,34.65 ± 1.54 / 55.96 ± 1.30@@34.65,62.41 ± 1.74 / 62.41 ± 1.74@@62.41,68.63 ± 1.72 / 46.07 ± 2.21@@68.63,30.33 ± 0.21 / 33.20 ± 0.32@@30.33,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.14.0.dev0@@161400
"<a href='https://docs.x.ai/developers/models/grok-4.20-beta-0309-reasoning'>xai/grok-4.20-beta-0309-reasoning (zero-shot, val)</a>",📝,1.75@@1.75,?,?,131072.0,✓,✗,46.86 ± 1.49 / 62.27 ± 0.95@@46.86,76.50 ± 1.01 / 76.50 ± 1.01@@76.50,34.02 ± 0.49 / 8.71 ± 0.54@@34.02,29.61 ± 0.10 / 34.58 ± 0.12@@29.61,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,1.79@@1.79,4022468096.0,151936.0,40960.0,✓,✗,37.26 ± 1.55 / 58.39 ± 1.04@@37.26,59.18 ± 1.82 / 59.18 ± 1.82@@59.18,64.19 ± 1.84 / 42.08 ± 2.35@@64.19,30.91 ± 0.13 / 35.46 ± 0.18@@30.91,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,1.79@@1.79,21511953984.0,201088.0,131072.0,✓,✗,44.77 ± 0.84 / 62.90 ± 0.49@@44.77,65.48 ± 0.89 / 65.48 ± 0.89@@65.48,58.66 ± 0.90 / 31.78 ± 1.04@@58.66,25.28 ± 0.32 / 31.41 ± 0.25@@25.28,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,1.83@@1.83,70599864480.0,131072.0,65536.0,✗,✗,42.51 ± 1.51 / 60.30 ± 2.03@@42.51,60.01 ± 2.27 / 60.01 ± 2.27@@60.01,50.97 ± 3.16 / 26.36 ± 3.25@@50.97,31.06 ± 0.07 / 36.36 ± 0.13@@31.06,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,<9.2.0@@0
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,1.83@@1.83,?,?,?,✓,✗,34.90 ± 1.66 / 56.45 ± 1.40@@34.90,56.19 ± 1.81 / 56.19 ± 1.81@@56.19,69.00 ± 0.59 / 41.01 ± 1.25@@69.00,29.39 ± 0.08 / 34.42 ± 0.10@@29.39,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700,16.17.0@@161700
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,1.83@@1.83,9653100528.0,248044.0,8192.0,✓,✗,47.79 ± 4.76 / 62.28 ± 2.94@@47.79,67.00 ± 2.51 / 67.00 ± 2.51@@67.00,39.62 ± 2.10 / 26.60 ± 1.94@@39.62,29.22 ± 0.67 / 33.47 ± 1.05@@29.22,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,1.84@@1.84,32233522176.0,100278.0,65536.0,✗,✗,31.89 ± 1.38 / 54.37 ± 0.91@@31.89,61.26 ± 1.52 / 61.26 ± 1.52@@61.26,66.71 ± 1.87 / 43.72 ± 2.08@@66.71,28.45 ± 0.17 / 32.00 ± 0.47@@28.45,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,1.84@@1.84,32233522176.0,100278.0,65536.0,✗,✗,34.11 ± 1.54 / 55.93 ± 1.01@@34.11,59.71 ± 1.31 / 59.71 ± 1.31@@59.71,67.92 ± 1.52 / 43.13 ± 1.61@@67.92,28.33 ± 0.26 / 31.97 ± 0.59@@28.33,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,1.85@@1.85,21511953984.0,201088.0,131072.0,✓,✗,39.98 ± 2.17 / 59.77 ± 1.55@@39.98,66.28 ± 1.63 / 66.28 ± 1.63@@66.28,56.37 ± 1.42 / 29.42 ± 1.61@@56.37,25.87 ± 0.45 / 31.90 ± 0.26@@25.87,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,1.86@@1.86,7241748480.0,32002.0,32768.0,✗,✗,29.30 ± 1.32 / 49.26 ± 1.76@@29.30,56.22 ± 3.00 / 56.22 ± 3.00@@56.22,69.83 ± 0.79 / 47.34 ± 2.01@@69.83,32.23 ± 0.71 / 35.96 ± 0.97@@32.23,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
