<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.63@@1.63,?,256128.0,1048576.0,✓,✗,48.46 ± 3.02 / 63.62 ± 2.26@@48.46,56.95 ± 3.40 / 45.00 ± 2.36@@56.95,49.04 ± 3.88 / 74.28 ± 1.93@@49.04,60.54 ± 1.41 / 32.53 ± 1.66@@60.54,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.66@@1.66,235107904512.0,151936.0,262144.0,✓,✗,52.23 ± 1.25 / 67.86 ± 1.11@@52.23,61.45 ± 1.80 / 39.20 ± 2.32@@61.45,44.64 ± 1.94 / 71.05 ± 1.40@@44.64,63.91 ± 1.34 / 41.55 ± 1.48@@63.91,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.67@@1.67,235107904512.0,151936.0,262144.0,✓,✗,53.84 ± 0.83 / 66.98 ± 0.53@@53.84,77.15 ± 1.13 / 61.76 ± 2.70@@77.15,28.79 ± 1.89 / 56.26 ± 1.54@@28.79,62.04 ± 1.14 / 38.91 ± 1.39@@62.04,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.69@@1.69,32759790592.0,151665.0,131072.0,✓,✗,50.60 ± 1.66 / 65.52 ± 1.37@@50.60,69.32 ± 1.61 / 51.84 ± 3.23@@69.32,33.55 ± 1.44 / 63.42 ± 1.49@@33.55,68.70 ± 1.14 / 46.59 ± 1.53@@68.70,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.71@@1.71,?,256128.0,1048576.0,✓,✗,45.96 ± 2.78 / 61.35 ± 1.81@@45.96,62.24 ± 4.02 / 39.45 ± 2.83@@62.24,47.78 ± 3.46 / 73.70 ± 1.73@@47.78,60.10 ± 0.99 / 32.20 ± 1.44@@60.10,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.73@@1.73,32762123264.0,151936.0,40960.0,✓,✗,50.73 ± 1.38 / 66.00 ± 0.95@@50.73,49.89 ± 1.66 / 36.38 ± 2.21@@49.89,43.82 ± 0.83 / 71.69 ± 0.40@@43.82,69.85 ± 1.71 / 50.40 ± 2.04@@69.85,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.75@@1.75,?,100256.0,272000.0,✓,✗,53.12 ± 3.04 / 67.73 ± 2.01@@53.12,57.49 ± 4.04 / 40.21 ± 2.67@@57.49,41.23 ± 3.08 / 68.79 ± 1.77@@41.23,61.03 ± 1.53 / 35.37 ± 1.13@@61.03,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.76@@1.76,30532122624.0,151936.0,40960.0,✓,✗,53.11 ± 1.40 / 69.39 ± 0.93@@53.11,64.85 ± 2.18 / 49.99 ± 2.65@@64.85,31.97 ± 2.09 / 64.97 ± 1.12@@31.97,62.24 ± 1.49 / 39.38 ± 1.58@@62.24,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.76@@1.76,?,?,?,✓,✗,41.69 ± 3.19 / 61.08 ± 2.23@@41.69,71.39 ± 4.39 / 62.30 ± 3.10@@71.39,34.88 ± 3.23 / 58.34 ± 2.36@@34.88,64.67 ± 0.84 / 36.40 ± 1.36@@64.67,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.78@@1.78,70553706496.0,128256.0,131072.0,✓,✗,51.96 ± 1.53 / 68.51 ± 1.00@@51.96,66.65 ± 0.94 / 57.68 ± 1.51@@66.65,25.08 ± 1.61 / 60.50 ± 2.65@@25.08,72.11 ± 2.61 / 53.74 ± 3.49@@72.11,16.5.0.dev0@@160500,16.0.0.dev0@@160000,16.5.0.dev0@@160500,16.0.0.dev0@@160000
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.78@@1.78,72706203648.0,152064.0,32768.0,✓,✗,50.26 ± 1.71 / 67.40 ± 1.05@@50.26,58.92 ± 1.45 / 38.67 ± 2.52@@58.92,38.09 ± 1.17 / 68.70 ± 0.69@@38.09,68.04 ± 1.74 / 42.27 ± 2.23@@68.04,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.79@@1.79,24011361280.0,131072.0,8192.0,✓,✗,52.86 ± 1.72 / 68.55 ± 1.19@@52.86,59.80 ± 2.09 / 47.20 ± 1.82@@59.80,29.64 ± 1.85 / 62.74 ± 1.83@@29.64,69.20 ± 2.42 / 46.00 ± 2.94@@69.20,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.79@@1.79,24011361280.0,131072.0,?,✓,✗,51.25 ± 2.43 / 66.91 ± 1.79@@51.25,61.71 ± 2.22 / 45.90 ± 1.87@@61.71,30.29 ± 1.59 / 62.86 ± 1.43@@30.29,72.50 ± 2.64 / 52.22 ± 3.67@@72.50,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.81@@1.81,70553706496.0,128256.0,131072.0,✓,✗,51.58 ± 1.59 / 67.89 ± 0.98@@51.58,62.80 ± 1.86 / 44.03 ± 2.07@@62.80,30.16 ± 1.16 / 64.01 ± 0.79@@30.16,67.65 ± 1.23 / 44.35 ± 1.62@@67.65,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.81@@1.81,24261800960.0,131072.0,8192.0,✓,✗,48.11 ± 2.76 / 63.91 ± 2.63@@48.11,64.05 ± 1.87 / 51.28 ± 2.11@@64.05,29.20 ± 1.97 / 64.07 ± 1.26@@29.20,68.76 ± 2.65 / 49.98 ± 3.42@@68.76,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.82@@1.82,24011361280.0,131072.0,8192.0,✓,✗,50.68 ± 1.90 / 66.96 ± 1.35@@50.68,57.00 ± 1.76 / 41.25 ± 1.89@@57.00,29.41 ± 2.38 / 63.36 ± 1.50@@29.41,71.87 ± 2.04 / 52.45 ± 2.61@@71.87,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.85@@1.85,81324862720.0,151936.0,262144.0,✓,✗,49.47 ± 1.18 / 65.42 ± 1.05@@49.47,55.54 ± 1.64 / 36.84 ± 2.31@@55.54,36.70 ± 1.79 / 67.92 ± 1.03@@36.70,64.59 ± 0.94 / 41.92 ± 1.20@@64.59,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.86@@1.86,?,100256.0,272000.0,✓,✗,49.03 ± 2.58 / 64.71 ± 1.52@@49.03,61.44 ± 3.63 / 48.02 ± 3.21@@61.44,31.25 ± 4.36 / 64.46 ± 2.32@@31.25,63.14 ± 1.58 / 38.19 ± 1.31@@63.14,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.86@@1.86,?,?,131072.0,✓,✗,41.86 ± 1.30 / 55.83 ± 1.02@@41.86,57.57 ± 1.50 / 49.78 ± 1.12@@57.57,39.24 ± 1.96 / 68.20 ± 1.07@@39.24,65.00 ± 0.48 / 41.72 ± 0.68@@65.00,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.86@@1.86,70553706496.0,128256.0,131072.0,✓,✗,50.87 ± 1.28 / 67.57 ± 0.81@@50.87,61.65 ± 1.84 / 42.55 ± 2.45@@61.65,29.49 ± 1.60 / 63.19 ± 1.30@@29.49,65.62 ± 1.24 / 42.94 ± 1.50@@65.62,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.88@@1.88,27432406640.0,262144.0,?,✓,✗,51.39 ± 1.16 / 68.30 ± 0.73@@51.39,51.06 ± 2.50 / 43.07 ± 2.40@@51.06,40.08 ± 1.70 / 69.72 ± 0.90@@40.08,61.34 ± 1.52 / 36.85 ± 1.83@@61.34,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,1.88@@1.88,25805936206.0,262144.0,8192.0,✓,✗,48.82 ± 1.87 / 65.60 ± 1.12@@48.82,69.43 ± 2.80 / 61.35 ± 2.40@@69.43,23.56 ± 1.83 / 60.92 ± 1.07@@23.56,62.45 ± 0.64 / 36.49 ± 0.59@@62.45,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.89@@1.89,?,256128.0,1048576.0,✓,✗,47.64 ± 2.74 / 62.41 ± 1.95@@47.64,55.70 ± 3.23 / 38.22 ± 2.40@@55.70,36.12 ± 4.46 / 67.85 ± 2.24@@36.12,64.00 ± 1.33 / 41.91 ± 1.23@@64.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.89@@1.89,?,?,200000.0,✓,✗,47.79 ± 2.84 / 65.11 ± 1.84@@47.79,40.56 ± 2.77 / 32.00 ± 2.47@@40.56,50.94 ± 3.93 / 75.40 ± 1.95@@50.94,62.73 ± 0.91 / 38.97 ± 1.42@@62.73,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.90@@1.90,72706203648.0,152064.0,32768.0,✗,✗,45.54 ± 3.77 / 63.68 ± 2.69@@45.54,59.46 ± 3.42 / 41.00 ± 3.22@@59.46,31.96 ± 2.38 / 64.91 ± 0.84@@31.96,65.86 ± 1.73 / 41.06 ± 1.89@@65.86,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.92@@1.92,12187325040.0,262144.0,?,✓,✗,49.04 ± 1.45 / 66.65 ± 0.92@@49.04,55.84 ± 2.28 / 34.19 ± 2.12@@55.84,35.56 ± 1.68 / 67.29 ± 1.01@@35.56,61.55 ± 1.52 / 39.04 ± 1.52@@61.55,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,1.93@@1.93,30532122624.0,151936.0,40960.0,✓,✗,49.75 ± 1.27 / 66.73 ± 0.96@@49.75,53.73 ± 1.89 / 35.40 ± 2.39@@53.73,33.94 ± 1.42 / 66.55 ± 0.68@@33.94,62.82 ± 1.53 / 40.96 ± 1.65@@62.82,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.93@@1.93,70553706496.0,128256.0,131072.0,✓,✗,50.31 ± 1.48 / 66.39 ± 1.00@@50.31,60.97 ± 1.96 / 41.47 ± 1.63@@60.97,29.50 ± 1.84 / 62.17 ± 2.12@@29.50,61.67 ± 1.11 / 37.02 ± 1.32@@61.67,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.96@@1.96,14765947904.0,151665.0,131072.0,✓,✗,48.02 ± 1.58 / 64.21 ± 1.25@@48.02,56.69 ± 1.58 / 38.91 ± 1.65@@56.69,28.88 ± 0.97 / 63.57 ± 0.69@@28.88,67.49 ± 1.21 / 46.04 ± 1.39@@67.49,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.97@@1.97,?,?,400000.0,✓,✗,45.55 ± 1.55 / 63.22 ± 1.10@@45.55,44.15 ± 1.16 / 26.18 ± 0.80@@44.15,41.95 ± 1.67 / 70.72 ± 0.86@@41.95,63.81 ± 0.52 / 37.48 ± 0.82@@63.81,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.98@@1.98,14768307200.0,151936.0,40960.0,✓,✗,46.69 ± 1.50 / 64.32 ± 0.95@@46.69,47.65 ± 1.61 / 30.31 ± 1.88@@47.65,33.50 ± 1.54 / 62.93 ± 1.51@@33.50,72.18 ± 1.38 / 52.05 ± 1.49@@72.18,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,1.98@@1.98,14768307200.0,151936.0,40960.0,✓,✗,45.98 ± 1.35 / 64.33 ± 0.87@@45.98,53.13 ± 2.61 / 36.74 ± 2.89@@53.13,33.15 ± 2.97 / 63.70 ± 3.47@@33.15,67.91 ± 1.47 / 46.14 ± 1.42@@67.91,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.98@@1.98,?,?,400000.0,✓,✗,52.20 ± 1.19 / 66.74 ± 0.82@@52.20,41.16 ± 1.22 / 27.11 ± 0.92@@41.16,41.91 ± 2.18 / 70.07 ± 1.11@@41.91,56.32 ± 0.54 / 30.14 ± 0.51@@56.32,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.98@@1.98,?,?,1047576.0,✓,✗,44.90 ± 1.69 / 63.41 ± 1.22@@44.90,42.67 ± 1.93 / 23.54 ± 1.39@@42.67,46.08 ± 3.96 / 70.53 ± 2.18@@46.08,59.21 ± 1.22 / 32.40 ± 1.62@@59.21,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,2.00@@2.00,?,?,400000.0,✓,✗,51.16 ± 1.55 / 66.25 ± 1.02@@51.16,40.19 ± 1.53 / 27.62 ± 1.15@@40.19,42.54 ± 1.92 / 70.33 ± 0.97@@42.54,58.45 ± 0.62 / 32.66 ± 0.60@@58.45,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.00@@2.00,30532122624.0,151936.0,262144.0,✓,✗,50.12 ± 1.51 / 67.10 ± 0.95@@50.12,46.83 ± 1.84 / 30.20 ± 1.49@@46.83,34.15 ± 1.88 / 66.43 ± 1.23@@34.15,64.14 ± 1.30 / 41.96 ± 1.42@@64.14,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
