<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,1.59@@1.59,?,256128.0,1048576.0,✓,✗,88.36 ± 1.32 / 93.96 ± 0.69@@88.36,66.07 ± 2.13 / 47.38 ± 2.27@@66.07,47.25 ± 2.39 / 73.16 ± 1.16@@47.25,66.05 ± 0.96 / 51.12 ± 1.36@@66.05,63.03 ± 0.14 / 7.78 ± 0.23@@63.03,76.11 ± 1.97 / 82.23 ± 1.45@@76.11,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,1.60@@1.60,?,256128.0,1048576.0,✓,✗,88.72 ± 1.44 / 94.16 ± 0.75@@88.72,62.95 ± 2.40 / 42.48 ± 1.75@@62.95,44.49 ± 2.04 / 70.93 ± 1.13@@44.49,65.54 ± 0.84 / 53.40 ± 1.35@@65.54,63.29 ± 0.12 / 7.98 ± 0.18@@63.29,82.93 ± 1.05 / 87.27 ± 0.77@@82.93,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.60@@1.60,27432406640.0,262144.0,?,✓,✗,93.78 ± 0.68 / 96.88 ± 0.35@@93.78,65.25 ± 1.02 / 47.69 ± 2.19@@65.25,41.32 ± 3.61 / 67.76 ± 4.16@@41.32,75.66 ± 1.52 / 58.64 ± 2.77@@75.66,66.02 ± 1.33 / 16.00 ± 1.43@@66.02,54.10 ± 2.37 / 65.27 ± 1.81@@54.10,16.5.0.dev0@@160500,15.9.2.dev0@@150902,16.5.0.dev0@@160500,15.9.2.dev0@@150902,15.9.2.dev0@@150902,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.61@@1.61,235107904512.0,151936.0,262144.0,✓,✗,92.17 ± 0.77 / 96.04 ± 0.40@@92.17,64.96 ± 1.23 / 38.83 ± 2.85@@64.96,45.86 ± 1.55 / 72.86 ± 0.76@@45.86,65.44 ± 0.83 / 50.50 ± 1.53@@65.44,63.48 ± 0.13 / 8.83 ± 0.24@@63.48,71.29 ± 1.04 / 78.47 ± 0.78@@71.29,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/o3'>o3-2025-04-16 (zero-shot, val)</a>",🤔,1.62@@1.62,?,?,200000.0,✓,✗,90.25 ± 1.13 / 94.98 ± 0.58@@90.25,69.71 ± 1.99 / 55.54 ± 2.08@@69.71,46.79 ± 2.99 / 73.20 ± 1.54@@46.79,59.83 ± 0.60 / 41.87 ± 1.27@@59.83,63.38 ± 0.15 / 8.37 ± 0.25@@63.38,72.77 ± 1.57 / 79.65 ± 1.12@@72.77,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.63@@1.63,235107904512.0,151936.0,262144.0,✓,✗,92.05 ± 0.68 / 95.99 ± 0.35@@92.05,79.42 ± 1.43 / 56.60 ± 1.64@@79.42,32.33 ± 1.73 / 57.92 ± 1.14@@32.33,66.88 ± 0.53 / 54.00 ± 0.68@@66.88,63.39 ± 0.24 / 9.06 ± 0.56@@63.39,69.31 ± 0.93 / 77.01 ± 0.70@@69.31,16.3.0.dev0@@160300,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.67@@1.67,70553706496.0,128256.0,131072.0,✓,✗,92.64 ± 0.74 / 96.28 ± 0.39@@92.64,73.64 ± 0.79 / 56.68 ± 3.59@@73.64,38.56 ± 1.29 / 67.77 ± 1.51@@38.56,76.96 ± 1.26 / 59.60 ± 2.49@@76.96,65.10 ± 0.70 / 13.59 ± 1.05@@65.10,40.28 ± 2.11 / 53.29 ± 1.60@@40.28,16.5.0.dev0@@160500,15.7.2@@150702,16.5.0.dev0@@160500,15.7.2@@150702,15.7.2@@150702,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.68@@1.68,?,?,?,✓,✗,90.62 ± 1.17 / 95.18 ± 0.61@@90.62,67.88 ± 2.40 / 48.98 ± 2.58@@67.88,40.48 ± 3.98 / 70.05 ± 2.01@@40.48,59.89 ± 0.82 / 36.57 ± 1.38@@59.89,63.15 ± 0.14 / 7.90 ± 0.17@@63.15,77.47 ± 2.47 / 83.01 ± 1.88@@77.47,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,1.69@@1.69,?,100256.0,272000.0,✓,✗,89.58 ± 1.08 / 94.67 ± 0.56@@89.58,59.28 ± 2.06 / 40.66 ± 2.44@@59.28,42.87 ± 3.19 / 70.51 ± 1.82@@42.87,64.85 ± 1.18 / 48.27 ± 1.65@@64.85,62.71 ± 0.13 / 7.39 ± 0.18@@62.71,75.56 ± 2.40 / 81.68 ± 1.81@@75.56,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#thinking (zero-shot, val)</a>",🤔,1.69@@1.69,?,?,?,✓,✗,91.13 ± 1.00 / 95.45 ± 0.51@@91.13,72.92 ± 2.61 / 63.08 ± 2.30@@72.92,25.46 ± 4.93 / 61.36 ± 2.48@@25.46,62.88 ± 1.12 / 44.21 ± 1.33@@62.88,63.34 ± 0.15 / 8.54 ± 0.22@@63.34,87.78 ± 1.11 / 90.86 ± 0.82@@87.78,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.69@@1.69,24011361280.0,131072.0,?,✓,✗,91.61 ± 0.84 / 95.72 ± 0.45@@91.61,67.45 ± 1.76 / 46.06 ± 3.44@@67.45,35.83 ± 2.04 / 65.96 ± 1.73@@35.83,74.97 ± 2.15 / 59.09 ± 3.09@@74.97,64.04 ± 0.18 / 10.15 ± 0.40@@64.04,56.29 ± 0.88 / 66.50 ± 0.73@@56.29,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-Instruct'>LumiOpen/Llama-Poro-2-70B-Instruct</a>,📝,1.70@@1.70,70553706496.0,128256.0,8192.0,✓,✗,93.10 ± 0.51 / 96.52 ± 0.26@@93.10,60.03 ± 1.15 / 34.73 ± 2.26@@60.03,46.71 ± 1.94 / 72.57 ± 1.35@@46.71,59.91 ± 1.24 / 39.57 ± 1.01@@59.91,65.85 ± 0.21 / 13.84 ± 0.47@@65.85,59.34 ± 0.69 / 68.95 ± 0.58@@59.34,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,1.70@@1.70,70553706496.0,128256.0,131072.0,✓,✗,92.62 ± 0.66 / 96.28 ± 0.34@@92.62,69.03 ± 1.54 / 44.88 ± 1.85@@69.03,35.07 ± 2.08 / 65.05 ± 1.87@@35.07,64.69 ± 1.02 / 43.72 ± 1.44@@64.69,66.37 ± 0.16 / 15.72 ± 0.33@@66.37,55.20 ± 1.17 / 65.86 ± 0.92@@55.20,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.70@@1.70,?,?,200000.0,✓,✗,92.72 ± 0.96 / 96.28 ± 0.51@@92.72,48.69 ± 1.79 / 31.20 ± 1.43@@48.69,51.57 ± 2.56 / 75.00 ± 1.36@@51.57,59.74 ± 0.80 / 39.77 ± 1.15@@59.74,63.69 ± 0.11 / 8.78 ± 0.19@@63.69,77.15 ± 1.94 / 82.81 ± 1.48@@77.15,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,1.71@@1.71,?,200019.0,128000.0,✓,✗,87.86 ± 1.33 / 93.68 ± 0.69@@87.86,60.36 ± 2.31 / 31.65 ± 2.40@@60.36,39.39 ± 3.35 / 66.85 ± 1.23@@39.39,61.52 ± 0.79 / 41.81 ± 1.01@@61.52,63.35 ± 0.12 / 7.93 ± 0.19@@63.35,79.83 ± 1.81 / 84.88 ± 1.34@@79.83,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.71@@1.71,70553706496.0,128256.0,131072.0,✓,✗,92.60 ± 0.70 / 96.26 ± 0.36@@92.60,69.41 ± 1.26 / 44.98 ± 3.00@@69.41,34.11 ± 2.76 / 64.41 ± 2.73@@34.11,65.17 ± 0.89 / 44.96 ± 1.85@@65.17,64.43 ± 0.17 / 11.13 ± 0.38@@64.43,64.98 ± 0.97 / 73.63 ± 0.74@@64.98,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500,15.15.0@@151500
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,1.71@@1.71,70553706496.0,128256.0,8192.0,✓,✗,92.39 ± 0.85 / 96.16 ± 0.44@@92.39,72.14 ± 1.02 / 51.90 ± 4.23@@72.14,36.33 ± 2.08 / 67.59 ± 1.17@@36.33,77.11 ± 1.27 / 59.23 ± 2.62@@77.11,65.17 ± 0.76 / 13.92 ± 0.77@@65.17,40.45 ± 2.48 / 53.70 ± 1.84@@40.45,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.73@@1.73,70553706496.0,128256.0,131072.0,✓,✗,92.73 ± 0.72 / 96.33 ± 0.37@@92.73,67.60 ± 1.81 / 43.66 ± 2.86@@67.60,33.45 ± 1.93 / 65.53 ± 1.79@@33.45,65.38 ± 1.07 / 45.87 ± 2.19@@65.38,64.34 ± 0.19 / 10.87 ± 0.38@@64.34,64.36 ± 1.13 / 73.26 ± 0.85@@64.36,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#high (zero-shot, val)</a>",🤔,1.74@@1.74,?,100256.0,272000.0,✓,✗,89.33 ± 1.22 / 94.55 ± 0.62@@89.33,68.65 ± 1.60 / 58.55 ± 1.72@@68.65,39.07 ± 3.90 / 67.27 ± 2.15@@39.07,66.05 ± 0.98 / 50.12 ± 1.31@@66.05,62.32 ± 0.12 / 6.55 ± 0.14@@62.32,63.32 ± 2.45 / 72.46 ± 1.84@@63.32,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600,15.16.0@@151600
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.75@@1.75,?,256128.0,1048576.0,✓,✗,89.22 ± 1.16 / 94.43 ± 0.60@@89.22,60.42 ± 2.08 / 37.10 ± 2.13@@60.42,37.10 ± 3.44 / 67.27 ± 1.66@@37.10,63.52 ± 1.06 / 50.07 ± 1.38@@63.52,62.49 ± 0.11 / 7.87 ± 0.21@@62.49,79.16 ± 1.99 / 84.38 ± 1.46@@79.16,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#thinking (zero-shot, val)</a>",🤔,1.75@@1.75,?,?,200000.0,✓,✗,91.65 ± 0.98 / 95.73 ± 0.50@@91.65,61.63 ± 1.84 / 50.36 ± 2.40@@61.63,37.22 ± 4.09 / 68.33 ± 2.07@@37.22,59.16 ± 0.79 / 42.29 ± 1.07@@59.16,63.57 ± 0.14 / 8.45 ± 0.20@@63.57,79.46 ± 1.79 / 84.61 ± 1.35@@79.46,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-sonnet-20241022 (zero-shot, val)</a>",📝,1.75@@1.75,?,?,200000.0,✓,✗,91.65 ± 0.98 / 95.73 ± 0.50@@91.65,52.56 ± 1.94 / 33.50 ± 1.89@@52.56,44.19 ± 2.53 / 70.21 ± 1.41@@44.19,58.32 ± 0.56 / 35.96 ± 0.82@@58.32,63.67 ± 0.11 / 9.27 ± 0.21@@63.67,78.49 ± 2.01 / 83.91 ± 1.49@@78.49,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.75@@1.75,24261800960.0,131072.0,8192.0,✓,✗,91.36 ± 0.83 / 95.61 ± 0.43@@91.36,71.04 ± 1.15 / 52.81 ± 2.90@@71.04,25.79 ± 3.00 / 54.53 ± 2.93@@25.79,73.12 ± 1.88 / 58.46 ± 1.83@@73.12,64.45 ± 0.23 / 11.45 ± 0.50@@64.45,60.39 ± 0.86 / 70.06 ± 0.68@@60.39,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,1.77@@1.77,24011361280.0,131072.0,8192.0,✓,✗,91.47 ± 0.61 / 95.67 ± 0.33@@91.47,65.41 ± 1.71 / 43.92 ± 3.66@@65.41,31.96 ± 1.98 / 62.71 ± 2.35@@31.96,76.47 ± 1.73 / 61.45 ± 2.39@@76.47,63.60 ± 0.15 / 9.18 ± 0.27@@63.60,54.36 ± 1.16 / 65.15 ± 0.98@@54.36,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.78@@1.78,70553706496.0,128256.0,131072.0,✓,✗,92.37 ± 0.65 / 96.15 ± 0.34@@92.37,69.08 ± 1.52 / 46.31 ± 2.82@@69.08,35.90 ± 2.62 / 64.12 ± 2.65@@35.90,53.60 ± 1.94 / 28.80 ± 2.26@@53.60,66.32 ± 0.25 / 15.21 ± 0.52@@66.32,59.07 ± 1.30 / 68.93 ± 1.03@@59.07,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.78@@1.78,24011361280.0,131072.0,?,✓,✗,92.80 ± 0.54 / 96.37 ± 0.28@@92.80,67.16 ± 2.10 / 49.82 ± 2.42@@67.16,34.77 ± 1.47 / 63.81 ± 1.94@@34.77,76.86 ± 1.43 / 61.30 ± 2.09@@76.86,64.18 ± 2.03 / 12.59 ± 1.32@@64.18,42.56 ± 1.83 / 56.12 ± 1.40@@42.56,16.5.0.dev0@@160500,15.9.1.dev0@@150901,16.5.0.dev0@@160500,15.9.1.dev0@@150901,15.9.1.dev0@@150901,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.78@@1.78,32759790592.0,151665.0,131072.0,✓,✗,90.90 ± 0.68 / 95.39 ± 0.36@@90.90,69.28 ± 1.52 / 45.66 ± 2.50@@69.28,34.30 ± 1.41 / 63.36 ± 1.54@@34.30,69.38 ± 0.83 / 51.14 ± 1.36@@69.38,63.76 ± 0.18 / 9.76 ± 0.35@@63.76,53.82 ± 1.02 / 65.11 ± 0.77@@53.82,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
