<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.61@@1.61,?,?,1047576.0,✓,✗,43.97 ± 2.43 / 59.08 ± 1.87@@43.97,67.42 ± 1.49 / 67.42 ± 1.49@@67.42,67.60 ± 2.49 / 81.29 ± 1.55@@67.60,58.47 ± 1.10 / 30.82 ± 0.92@@58.47,30.11 ± 0.29 / 34.99 ± 0.34@@30.11,73.11 ± 2.83 / 79.73 ± 2.11@@73.11,57.80 ± 5.30 / 79.84 ± 2.46@@57.80,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.62@@1.62,32759790592.0,151665.0,131072.0,✓,✗,49.69 ± 1.32 / 65.31 ± 1.02@@49.69,82.11 ± 0.96 / 82.11 ± 0.96@@82.11,51.67 ± 1.61 / 75.71 ± 0.81@@51.67,65.23 ± 1.65 / 43.11 ± 1.90@@65.23,30.24 ± 0.16 / 34.00 ± 0.30@@30.24,69.67 ± 1.00 / 77.24 ± 0.76@@69.67,48.45 ± 0.93 / 74.23 ± 0.47@@48.45,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.65@@1.65,?,?,?,✓,✗,48.08 ± 1.97 / 62.04 ± 1.60@@48.08,72.97 ± 0.95 / 72.97 ± 0.95@@72.97,75.24 ± 2.22 / 87.48 ± 1.12@@75.24,65.00 ± 1.32 / 33.37 ± 1.00@@65.00,27.26 ± 0.17 / 32.96 ± 0.20@@27.26,78.40 ± 2.34 / 83.71 ± 1.75@@78.40,39.04 ± 5.08 / 70.39 ± 1.98@@39.04,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.66@@1.66,24011361280.0,131072.0,8192.0,✓,✗,51.20 ± 1.37 / 66.42 ± 1.17@@51.20,81.05 ± 1.11 / 81.05 ± 1.11@@81.05,51.24 ± 2.38 / 75.25 ± 1.54@@51.24,61.26 ± 2.21 / 38.47 ± 2.17@@61.26,31.09 ± 0.18 / 34.96 ± 0.56@@31.09,60.59 ± 0.87 / 70.42 ± 0.67@@60.59,48.02 ± 1.14 / 73.95 ± 0.60@@48.02,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.66@@1.66,24011361280.0,131072.0,8192.0,✓,✗,50.40 ± 1.33 / 65.47 ± 1.38@@50.40,80.67 ± 1.19 / 80.67 ± 1.19@@80.67,52.57 ± 1.09 / 75.37 ± 0.80@@52.57,67.16 ± 2.98 / 47.34 ± 2.60@@67.16,30.38 ± 0.22 / 34.30 ± 0.71@@30.38,59.55 ± 0.79 / 69.57 ± 0.61@@59.55,47.10 ± 1.47 / 73.53 ± 0.76@@47.10,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.67@@1.67,?,256128.0,1048576.0,✓,✗,42.64 ± 3.40 / 56.84 ± 2.19@@42.64,77.01 ± 0.81 / 77.01 ± 0.81@@77.01,65.39 ± 3.10 / 82.63 ± 1.55@@65.39,62.98 ± 0.68 / 36.04 ± 1.46@@62.98,28.00 ± 0.29 / 33.61 ± 0.35@@28.00,80.19 ± 1.57 / 85.16 ± 1.16@@80.19,45.79 ± 5.83 / 74.53 ± 2.67@@45.79,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.69@@1.69,32762123264.0,151936.0,40960.0,✓,✗,49.99 ± 1.43 / 66.93 ± 0.97@@49.99,73.64 ± 1.03 / 73.64 ± 1.03@@73.64,59.66 ± 1.04 / 79.71 ± 0.56@@59.66,63.11 ± 1.79 / 39.79 ± 1.88@@63.11,30.26 ± 0.14 / 34.34 ± 0.23@@30.26,64.67 ± 0.48 / 73.45 ± 0.36@@64.67,45.48 ± 1.52 / 72.63 ± 0.76@@45.48,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.70@@1.70,27432406640.0,262144.0,8192.0,✓,✗,51.83 ± 1.39 / 67.00 ± 1.28@@51.83,78.37 ± 1.21 / 78.37 ± 1.21@@78.37,63.44 ± 0.91 / 81.57 ± 0.47@@63.44,55.96 ± 1.50 / 34.17 ± 1.64@@55.96,29.94 ± 0.18 / 33.92 ± 0.22@@29.94,61.46 ± 0.38 / 71.07 ± 0.30@@61.46,46.17 ± 1.15 / 73.09 ± 0.57@@46.17,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.75@@1.75,27432406640.0,262144.0,8192.0,✓,✗,49.29 ± 3.18 / 65.73 ± 2.98@@49.29,73.98 ± 0.88 / 73.98 ± 0.88@@73.98,61.16 ± 2.05 / 80.04 ± 1.46@@61.16,66.09 ± 3.53 / 45.94 ± 4.07@@66.09,28.29 ± 1.35 / 30.20 ± 1.97@@28.29,61.98 ± 0.83 / 71.46 ± 0.62@@61.98,43.90 ± 1.66 / 71.69 ± 0.86@@43.90,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.78@@1.78,24261800960.0,131072.0,8192.0,✓,✗,47.48 ± 0.98 / 64.29 ± 0.72@@47.48,77.78 ± 1.24 / 77.78 ± 1.24@@77.78,47.97 ± 2.48 / 73.36 ± 1.43@@47.97,60.68 ± 1.77 / 41.49 ± 2.13@@60.68,30.49 ± 0.75 / 33.88 ± 1.38@@30.49,59.70 ± 0.83 / 69.73 ± 0.63@@59.70,45.66 ± 1.69 / 72.81 ± 0.87@@45.66,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.81@@1.81,70553706496.0,128256.0,131072.0,✓,✗,51.11 ± 1.00 / 61.95 ± 0.75@@51.11,79.64 ± 0.59 / 79.64 ± 0.59@@79.64,49.22 ± 3.47 / 73.04 ± 1.99@@49.22,65.97 ± 2.99 / 47.54 ± 3.34@@65.97,27.24 ± 1.17 / 28.87 ± 1.57@@27.24,59.10 ± 0.84 / 69.10 ± 0.64@@59.10,44.97 ± 2.52 / 72.44 ± 1.25@@44.97,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,<9.2.0@@0,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.83@@1.83,24011361280.0,131072.0,8192.0,✓,✗,50.66 ± 1.12 / 67.47 ± 0.76@@50.66,77.21 ± 0.91 / 77.21 ± 0.91@@77.21,41.90 ± 6.91 / 67.62 ± 5.99@@41.90,66.23 ± 3.83 / 47.53 ± 3.76@@66.23,27.16 ± 2.05 / 29.15 ± 3.12@@27.16,60.50 ± 0.82 / 70.32 ± 0.60@@60.50,45.08 ± 1.34 / 72.53 ± 0.67@@45.08,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.85@@1.85,72706203648.0,152064.0,32768.0,✗,✗,46.62 ± 3.29 / 63.61 ± 2.41@@46.62,73.10 ± 2.06 / 73.10 ± 2.06@@73.10,42.54 ± 5.41 / 70.42 ± 2.99@@42.54,67.44 ± 1.27 / 43.77 ± 1.78@@67.44,31.43 ± 0.40 / 35.50 ± 0.36@@31.43,63.43 ± 2.82 / 72.50 ± 2.11@@63.43,30.32 ± 4.95 / 67.81 ± 2.26@@30.32,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.85@@1.85,70553706496.0,128256.0,131072.0,✓,✗,52.22 ± 1.08 / 66.80 ± 1.21@@52.22,80.40 ± 1.11 / 80.40 ± 1.11@@80.40,52.41 ± 1.77 / 75.47 ± 1.08@@52.41,16.85 ± 1.34 / 0.45 ± 0.54@@16.85,30.97 ± 0.21 / 34.64 ± 0.25@@30.97,73.36 ± 0.75 / 79.97 ± 0.56@@73.36,48.73 ± 2.53 / 74.33 ± 1.29@@48.73,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.86@@1.86,30532122624.0,151936.0,262144.0,✓,✗,50.75 ± 1.05 / 65.52 ± 1.05@@50.75,70.62 ± 1.49 / 70.62 ± 1.49@@70.62,48.46 ± 1.15 / 73.96 ± 0.65@@48.46,56.89 ± 1.16 / 35.40 ± 1.20@@56.89,30.30 ± 0.12 / 34.64 ± 0.14@@30.30,62.83 ± 0.97 / 72.14 ± 0.72@@62.83,37.25 ± 1.68 / 68.65 ± 0.86@@37.25,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.86@@1.86,?,100256.0,272000.0,✓,✗,41.39 ± 3.35 / 55.11 ± 2.51@@41.39,81.22 ± 1.05 / 81.22 ± 1.05@@81.22,53.54 ± 3.27 / 76.11 ± 1.77@@53.54,62.47 ± 0.80 / 35.28 ± 0.94@@62.47,25.23 ± 0.12 / 31.16 ± 0.16@@25.23,74.51 ± 1.43 / 80.82 ± 1.07@@74.51,45.22 ± 5.16 / 72.50 ± 2.41@@45.22,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.88@@1.88,12187325040.0,262144.0,8192.0,✓,✗,50.97 ± 1.59 / 66.04 ± 1.35@@50.97,75.22 ± 1.20 / 75.22 ± 1.20@@75.22,56.27 ± 1.48 / 77.85 ± 0.66@@56.27,57.88 ± 1.38 / 33.97 ± 1.31@@57.88,30.34 ± 0.19 / 34.23 ± 0.18@@30.34,53.39 ± 0.81 / 64.95 ± 0.63@@53.39,30.34 ± 2.33 / 65.16 ± 1.17@@30.34,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.91@@1.91,14768307200.0,151936.0,40960.0,✓,✗,49.72 ± 1.31 / 65.63 ± 1.01@@49.72,74.79 ± 1.13 / 74.79 ± 1.13@@74.79,39.75 ± 2.53 / 64.52 ± 2.10@@39.75,65.41 ± 1.32 / 44.50 ± 1.61@@65.41,30.64 ± 0.18 / 34.72 ± 0.28@@30.64,56.22 ± 1.17 / 67.17 ± 0.87@@56.22,33.08 ± 1.26 / 66.35 ± 0.59@@33.08,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,1.93@@1.93,4022468096.0,151936.0,262144.0,✓,✗,43.00 ± 0.76 / 54.32 ± 0.93@@43.00,85.21 ± 0.76 / 85.21 ± 0.76@@85.21,29.25 ± 1.48 / 58.76 ± 1.23@@29.25,58.69 ± 1.05 / 38.05 ± 1.15@@58.69,28.28 ± 0.62 / 32.34 ± 0.56@@28.28,68.41 ± 0.86 / 76.36 ± 0.63@@68.41,45.81 ± 1.86 / 72.89 ± 0.93@@45.81,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.16.1.dev0@@161601,16.14.0.dev0@@161400,16.14.0.dev0@@161400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.94@@1.94,14765947904.0,151665.0,131072.0,✓,✗,49.13 ± 1.21 / 65.56 ± 0.91@@49.13,74.94 ± 1.36 / 74.94 ± 1.36@@74.94,33.23 ± 2.08 / 60.62 ± 1.85@@33.23,62.04 ± 1.22 / 36.61 ± 1.74@@62.04,30.15 ± 0.08 / 33.87 ± 0.27@@30.15,61.34 ± 0.96 / 71.02 ± 0.71@@61.34,34.21 ± 1.70 / 67.02 ± 0.82@@34.21,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.6.0.dev0@@160600,16.15.0.dev0@@161500,16.6.0.dev0@@160600,16.6.0.dev0@@160600
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,1.97@@1.97,?,?,200000.0,✓,✗,47.12 ± 2.81 / 58.01 ± 1.99@@47.12,70.04 ± 1.38 / 70.04 ± 1.38@@70.04,50.77 ± 2.97 / 74.53 ± 1.40@@50.77,59.61 ± 1.09 / 29.92 ± 1.45@@59.61,28.09 ± 0.27 / 33.35 ± 0.33@@28.09,62.87 ± 1.90 / 71.95 ± 1.45@@62.87,29.78 ± 5.27 / 64.06 ± 2.40@@29.78,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,1.99@@1.99,?,256128.0,1048576.0,✓,✗,44.28 ± 2.99 / 57.07 ± 2.15@@44.28,60.87 ± 1.91 / 60.87 ± 1.91@@60.87,42.02 ± 3.86 / 63.44 ± 2.37@@42.02,60.41 ± 1.09 / 31.31 ± 1.19@@60.41,29.52 ± 0.25 / 34.54 ± 0.31@@29.52,59.47 ± 1.87 / 69.57 ± 1.39@@59.47,41.16 ± 4.37 / 70.62 ± 2.07@@41.16,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
