<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#low (zero-shot, val)</a>",🤔,1.62@@1.62,?,?,400000.0,✓,✗,42.22 ± 1.03 / 46.39 ± 1.13@@42.22,67.22 ± 1.00 / 67.22 ± 1.00@@67.22,56.33 ± 1.71 / 77.69 ± 0.83@@56.33,61.08 ± 0.51 / 36.63 ± 0.66@@61.08,33.39 ± 0.24 / 35.91 ± 0.25@@33.39,80.42 ± 2.16 / 85.31 ± 1.62@@80.42,45.04 ± 1.59 / 73.59 ± 0.76@@45.04,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.63@@1.63,?,?,1047576.0,✓,✗,43.47 ± 1.88 / 50.00 ± 1.49@@43.47,62.58 ± 1.49 / 62.58 ± 1.49@@62.58,46.15 ± 4.36 / 69.95 ± 2.71@@46.15,53.28 ± 0.86 / 26.57 ± 1.34@@53.28,34.83 ± 0.43 / 37.41 ± 0.45@@34.83,83.89 ± 4.90 / 88.12 ± 3.51@@83.89,60.39 ± 3.82 / 81.25 ± 1.95@@60.39,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#medium (zero-shot, val)</a>",🤔,1.68@@1.68,?,?,400000.0,✓,✗,41.25 ± 1.06 / 46.16 ± 0.96@@41.25,67.66 ± 1.01 / 67.66 ± 1.01@@67.66,44.22 ± 1.99 / 71.75 ± 0.99@@44.22,56.92 ± 0.59 / 36.78 ± 0.68@@56.92,33.38 ± 0.19 / 35.90 ± 0.21@@33.38,77.86 ± 2.40 / 83.12 ± 1.99@@77.86,53.93 ± 1.84 / 77.97 ± 0.87@@53.93,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.68@@1.68,?,?,131072.0,✓,✗,46.54 ± 1.16 / 54.16 ± 1.05@@46.54,62.31 ± 0.96 / 62.31 ± 0.96@@62.31,32.27 ± 1.93 / 64.78 ± 1.00@@32.27,65.00 ± 0.44 / 42.25 ± 0.59@@65.00,32.83 ± 0.18 / 35.12 ± 0.19@@32.83,77.56 ± 2.63 / 83.75 ± 1.79@@77.56,70.12 ± 1.65 / 85.78 ± 0.86@@70.12,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.75@@1.75,27432406640.0,262144.0,8192.0,✓,✗,47.71 ± 1.21 / 61.66 ± 1.65@@47.71,63.06 ± 1.05 / 63.06 ± 1.05@@63.06,41.68 ± 1.08 / 70.39 ± 0.61@@41.68,62.80 ± 1.47 / 37.31 ± 2.69@@62.80,34.17 ± 0.24 / 36.00 ± 0.31@@34.17,71.72 ± 1.27 / 78.75 ± 0.97@@71.72,45.03 ± 1.45 / 72.51 ± 0.72@@45.03,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.76@@1.76,?,?,?,✓,✗,45.33 ± 1.80 / 54.24 ± 1.53@@45.33,62.17 ± 2.13 / 62.17 ± 2.13@@62.17,42.68 ± 2.97 / 71.24 ± 1.49@@42.68,64.80 ± 1.06 / 39.15 ± 1.52@@64.80,32.86 ± 0.37 / 36.39 ± 0.40@@32.86,72.15 ± 5.76 / 79.38 ± 4.20@@72.15,52.70 ± 3.38 / 75.86 ± 1.56@@52.70,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.77@@1.77,32762123264.0,151936.0,40960.0,✓,✗,47.35 ± 1.36 / 63.58 ± 1.58@@47.35,60.54 ± 1.01 / 60.54 ± 1.01@@60.54,40.22 ± 1.10 / 69.19 ± 0.89@@40.22,70.16 ± 0.78 / 49.07 ± 1.17@@70.16,33.84 ± 0.20 / 35.36 ± 0.30@@33.84,68.13 ± 1.30 / 76.05 ± 0.98@@68.13,43.33 ± 1.40 / 71.59 ± 0.71@@43.33,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.79@@1.79,72706203648.0,152064.0,32768.0,✓,✗,48.29 ± 1.18 / 63.51 ± 1.45@@48.29,63.92 ± 0.61 / 63.92 ± 0.61@@63.92,32.32 ± 1.29 / 64.88 ± 0.98@@32.32,70.95 ± 1.07 / 50.19 ± 1.21@@70.95,33.26 ± 0.11 / 35.16 ± 0.13@@33.26,75.87 ± 1.66 / 81.86 ± 1.26@@75.87,42.80 ± 1.61 / 71.39 ± 0.81@@42.80,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,<9.2.0@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.83@@1.83,27432406640.0,262144.0,8192.0,✓,✗,48.20 ± 1.52 / 61.51 ± 2.28@@48.20,69.51 ± 1.55 / 69.51 ± 1.55@@69.51,33.50 ± 2.02 / 65.56 ± 1.78@@33.50,74.07 ± 1.76 / 54.62 ± 2.18@@74.07,26.23 ± 1.99 / 26.33 ± 2.14@@26.23,74.43 ± 1.89 / 80.80 ± 1.42@@74.43,44.98 ± 1.87 / 72.37 ± 0.95@@44.98,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.5.0.dev0@@160500,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.83@@1.83,?,?,400000.0,✓,✗,41.35 ± 0.93 / 46.08 ± 0.86@@41.35,62.42 ± 0.93 / 62.42 ± 0.93@@62.42,44.97 ± 1.45 / 72.08 ± 0.70@@44.97,56.88 ± 0.89 / 28.63 ± 1.24@@56.88,31.72 ± 0.22 / 35.48 ± 0.25@@31.72,67.30 ± 2.06 / 75.62 ± 1.79@@67.30,49.02 ± 1.93 / 75.23 ± 1.05@@49.02,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.87@@1.87,?,?,400000.0,✓,✗,42.04 ± 0.88 / 47.95 ± 1.03@@42.04,61.59 ± 1.10 / 61.59 ± 1.10@@61.59,46.72 ± 1.60 / 72.81 ± 0.79@@46.72,65.09 ± 0.42 / 42.10 ± 0.77@@65.09,33.92 ± 0.20 / 36.39 ± 0.22@@33.92,76.68 ± 2.63 / 81.88 ± 2.07@@76.68,27.56 ± 2.20 / 64.14 ± 1.25@@27.56,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.87@@1.87,24011361280.0,131072.0,8192.0,✓,✗,47.65 ± 1.26 / 62.83 ± 1.40@@47.65,67.61 ± 0.90 / 67.61 ± 0.90@@67.61,30.76 ± 1.63 / 64.28 ± 1.01@@30.76,73.45 ± 2.48 / 53.30 ± 3.34@@73.45,31.97 ± 0.79 / 33.21 ± 1.01@@31.97,68.28 ± 2.51 / 76.22 ± 1.86@@68.28,34.90 ± 2.25 / 67.33 ± 1.17@@34.90,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.88@@1.88,?,?,?,✓,✗,47.19 ± 2.25 / 54.62 ± 2.24@@47.19,68.55 ± 2.48 / 68.55 ± 2.48@@68.55,12.32 ± 2.53 / 39.94 ± 1.26@@12.32,57.77 ± 0.77 / 30.83 ± 1.36@@57.77,32.95 ± 0.27 / 35.08 ± 0.29@@32.95,81.79 ± 4.34 / 86.25 ± 3.32@@81.79,61.47 ± 4.50 / 79.30 ± 2.37@@61.47,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.88@@1.88,70553706496.0,128256.0,131072.0,✓,✗,45.17 ± 1.51 / 54.57 ± 2.25@@45.17,70.10 ± 1.63 / 70.10 ± 1.63@@70.10,31.33 ± 1.85 / 62.98 ± 1.47@@31.33,75.58 ± 2.59 / 58.41 ± 3.25@@75.58,27.31 ± 1.04 / 27.73 ± 1.18@@27.31,77.27 ± 0.95 / 82.92 ± 0.70@@77.27,42.17 ± 2.30 / 70.97 ± 1.21@@42.17,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.5.0.dev0@@160500,16.3.0.dev0@@160300,<9.2.0@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.88@@1.88,70553706496.0,128256.0,131072.0,✓,✗,46.95 ± 1.39 / 60.66 ± 1.41@@46.95,67.31 ± 0.75 / 67.31 ± 0.75@@67.31,29.65 ± 1.18 / 63.71 ± 1.00@@29.65,57.82 ± 1.43 / 29.13 ± 1.93@@57.82,33.03 ± 0.29 / 34.43 ± 0.37@@33.03,77.99 ± 1.56 / 83.48 ± 1.17@@77.99,42.36 ± 1.32 / 70.78 ± 0.73@@42.36,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.89@@1.89,30532122624.0,151936.0,262144.0,✓,✗,46.57 ± 1.18 / 60.11 ± 1.74@@46.57,63.12 ± 1.15 / 63.12 ± 1.15@@63.12,32.80 ± 0.61 / 66.25 ± 0.30@@32.80,64.87 ± 1.23 / 43.50 ± 1.56@@64.87,33.95 ± 0.18 / 36.01 ± 0.21@@33.95,72.24 ± 1.94 / 79.14 ± 1.47@@72.24,37.43 ± 1.92 / 68.69 ± 0.96@@37.43,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.90@@1.90,?,?,400000.0,✓,✗,41.69 ± 0.93 / 47.36 ± 0.91@@41.69,64.87 ± 0.74 / 64.87 ± 0.74@@64.87,39.97 ± 2.33 / 69.76 ± 1.15@@39.97,54.20 ± 0.41 / 27.34 ± 0.66@@54.20,31.86 ± 0.20 / 35.64 ± 0.23@@31.86,76.06 ± 1.91 / 81.88 ± 1.60@@76.06,42.59 ± 3.17 / 71.72 ± 1.57@@42.59,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.92@@1.92,70553706496.0,128256.0,131072.0,✓,✗,47.55 ± 1.12 / 58.74 ± 1.40@@47.55,66.31 ± 0.67 / 66.31 ± 0.67@@66.31,29.91 ± 2.00 / 60.55 ± 2.03@@29.91,53.61 ± 1.92 / 26.44 ± 2.64@@53.61,30.69 ± 0.65 / 31.22 ± 0.75@@30.69,78.23 ± 1.49 / 83.67 ± 1.11@@78.23,43.76 ± 2.10 / 71.64 ± 1.23@@43.76,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,<9.2.0@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.93@@1.93,?,256128.0,1048576.0,✓,✗,40.95 ± 1.93 / 46.07 ± 1.87@@40.95,57.31 ± 2.04 / 57.31 ± 2.04@@57.31,33.46 ± 4.71 / 66.34 ± 2.45@@33.46,60.12 ± 1.10 / 33.43 ± 1.55@@60.12,32.60 ± 0.41 / 36.16 ± 0.46@@32.60,64.94 ± 5.84 / 74.38 ± 4.16@@64.94,55.03 ± 4.04 / 78.83 ± 1.89@@55.03,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.93@@1.93,24011361280.0,131072.0,8192.0,✓,✗,47.11 ± 1.18 / 62.41 ± 2.00@@47.11,67.09 ± 1.08 / 67.09 ± 1.08@@67.09,27.85 ± 1.20 / 61.69 ± 1.25@@27.85,67.91 ± 2.27 / 45.13 ± 3.32@@67.91,32.35 ± 0.84 / 33.45 ± 1.06@@32.35,70.88 ± 2.20 / 78.16 ± 1.61@@70.88,34.08 ± 2.31 / 66.72 ± 1.19@@34.08,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.95@@1.95,12187325040.0,262144.0,8192.0,✓,✗,47.80 ± 1.75 / 62.14 ± 2.14@@47.80,65.24 ± 0.62 / 65.24 ± 0.62@@65.24,34.36 ± 1.74 / 65.87 ± 1.18@@34.36,59.08 ± 1.64 / 34.10 ± 2.44@@59.08,33.45 ± 0.23 / 34.97 ± 0.33@@33.45,65.66 ± 1.14 / 74.19 ± 0.86@@65.66,29.93 ± 1.51 / 64.86 ± 0.79@@29.93,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.95@@1.95,24261800960.0,131072.0,8192.0,✓,✗,48.87 ± 1.60 / 65.88 ± 1.52@@48.87,68.39 ± 0.96 / 68.39 ± 0.96@@68.39,29.98 ± 1.83 / 62.00 ± 1.66@@29.98,66.34 ± 2.34 / 46.70 ± 3.02@@66.34,28.46 ± 1.78 / 28.93 ± 2.02@@28.46,71.78 ± 1.68 / 78.83 ± 1.27@@71.78,36.19 ± 2.18 / 68.02 ± 1.10@@36.19,16.7.1.dev0@@160701,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.15.0.dev0@@161500,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.96@@1.96,32759790592.0,151665.0,131072.0,✓,✗,45.63 ± 1.34 / 56.88 ± 1.53@@45.63,64.92 ± 1.02 / 64.92 ± 1.02@@64.92,29.23 ± 0.84 / 61.55 ± 0.92@@29.23,70.04 ± 1.24 / 46.94 ± 1.67@@70.04,32.07 ± 0.30 / 33.36 ± 0.41@@32.07,67.51 ± 1.66 / 75.59 ± 1.23@@67.51,38.05 ± 0.96 / 69.00 ± 0.47@@38.05,16.7.1.dev0@@160701,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
