<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=13 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,1.42@@1.42,?,256128.0,1048576.0,✓,✗,48.46 ± 3.02 / 63.62 ± 2.26@@48.46,56.95 ± 3.40 / 45.00 ± 2.36@@56.95,49.04 ± 3.88 / 74.28 ± 1.93@@49.04,60.54 ± 1.41 / 32.53 ± 1.66@@60.54,87.46 ± 1.19 / 90.62 ± 0.92@@87.46,94.34 ± 2.15 / 97.19 ± 1.05@@94.34,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.46@@1.46,?,100256.0,272000.0,✓,✗,53.12 ± 3.04 / 67.73 ± 2.01@@53.12,57.49 ± 4.04 / 40.21 ± 2.67@@57.49,41.23 ± 3.08 / 68.79 ± 1.77@@41.23,61.03 ± 1.53 / 35.37 ± 1.13@@61.03,82.15 ± 2.22 / 86.76 ± 1.65@@82.15,97.25 ± 1.95 / 98.60 ± 1.00@@97.25,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#no-thinking (zero-shot, val)</a>",📝,1.47@@1.47,?,256128.0,1048576.0,✓,✗,45.96 ± 2.78 / 61.35 ± 1.81@@45.96,62.24 ± 4.02 / 39.45 ± 2.83@@62.24,47.78 ± 3.46 / 73.70 ± 1.73@@47.78,60.10 ± 0.99 / 32.20 ± 1.44@@60.10,83.02 ± 1.39 / 87.30 ± 1.04@@83.02,91.68 ± 2.49 / 95.79 ± 1.28@@91.68,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,1.48@@1.48,235107904512.0,151936.0,262144.0,✓,✗,52.23 ± 1.25 / 67.86 ± 1.11@@52.23,61.45 ± 1.80 / 39.20 ± 2.32@@61.45,44.64 ± 1.94 / 71.05 ± 1.40@@44.64,63.91 ± 1.34 / 41.55 ± 1.48@@63.91,70.95 ± 0.86 / 78.23 ± 0.65@@70.95,89.67 ± 3.15 / 94.92 ± 1.52@@89.67,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,1.49@@1.49,235107904512.0,151936.0,262144.0,✓,✗,53.84 ± 0.83 / 66.98 ± 0.53@@53.84,77.15 ± 1.13 / 61.76 ± 2.70@@77.15,28.79 ± 1.89 / 56.26 ± 1.54@@28.79,62.04 ± 1.14 / 38.91 ± 1.39@@62.04,80.72 ± 0.82 / 85.56 ± 0.61@@80.72,90.41 ± 2.59 / 95.15 ± 1.33@@90.41,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,1.63@@1.63,30532122624.0,151936.0,40960.0,✓,✗,53.11 ± 1.40 / 69.39 ± 0.93@@53.11,64.85 ± 2.18 / 49.99 ± 2.65@@64.85,31.97 ± 2.09 / 64.97 ± 1.12@@31.97,62.24 ± 1.49 / 39.38 ± 1.58@@62.24,68.07 ± 1.04 / 76.06 ± 0.78@@68.07,86.52 ± 3.89 / 93.26 ± 1.90@@86.52,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,1.65@@1.65,?,100256.0,272000.0,✓,✗,49.03 ± 2.58 / 64.71 ± 1.52@@49.03,61.44 ± 3.63 / 48.02 ± 3.21@@61.44,31.25 ± 4.36 / 64.46 ± 2.32@@31.25,63.14 ± 1.58 / 38.19 ± 1.31@@63.14,75.01 ± 1.69 / 81.41 ± 1.30@@75.01,88.33 ± 4.18 / 94.21 ± 2.05@@88.33,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.65@@1.65,?,?,131072.0,✓,✗,41.86 ± 1.30 / 55.83 ± 1.02@@41.86,57.57 ± 1.50 / 49.78 ± 1.12@@57.57,39.24 ± 1.96 / 68.20 ± 1.07@@39.24,65.00 ± 0.48 / 41.72 ± 0.68@@65.00,84.18 ± 0.52 / 88.16 ± 0.40@@84.18,77.41 ± 2.05 / 88.77 ± 1.05@@77.41,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.65@@1.65,?,?,?,✓,✗,41.69 ± 3.19 / 61.08 ± 2.23@@41.69,71.39 ± 4.39 / 62.30 ± 3.10@@71.39,34.88 ± 3.23 / 58.34 ± 2.36@@34.88,64.67 ± 0.84 / 36.40 ± 1.36@@64.67,68.72 ± 2.00 / 76.68 ± 1.52@@68.72,79.87 ± 3.89 / 89.30 ± 2.20@@79.87,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",📝,1.66@@1.66,?,?,200000.0,✓,✗,47.79 ± 2.84 / 65.11 ± 1.84@@47.79,40.56 ± 2.77 / 32.00 ± 2.47@@40.56,50.94 ± 3.93 / 75.40 ± 1.95@@50.94,62.73 ± 0.91 / 38.97 ± 1.42@@62.73,71.67 ± 1.45 / 78.52 ± 1.06@@71.67,90.21 ± 4.67 / 94.74 ± 2.71@@90.21,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.66@@1.66,32759790592.0,151665.0,131072.0,✓,✗,50.60 ± 1.66 / 65.52 ± 1.37@@50.60,69.32 ± 1.61 / 51.84 ± 3.23@@69.32,33.55 ± 1.44 / 63.42 ± 1.49@@33.55,68.70 ± 1.14 / 46.59 ± 1.53@@68.70,59.44 ± 1.08 / 69.55 ± 0.81@@59.44,81.58 ± 4.61 / 90.83 ± 2.35@@81.58,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.68@@1.68,72706203648.0,152064.0,32768.0,✓,✗,50.26 ± 1.71 / 67.40 ± 1.05@@50.26,58.92 ± 1.45 / 38.67 ± 2.52@@58.92,38.09 ± 1.17 / 68.70 ± 0.69@@38.09,68.04 ± 1.74 / 42.27 ± 2.23@@68.04,61.60 ± 0.81 / 71.12 ± 0.62@@61.60,86.44 ± 3.81 / 93.26 ± 1.95@@86.44,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.69@@1.69,32762123264.0,151936.0,40960.0,✓,✗,50.73 ± 1.38 / 66.00 ± 0.95@@50.73,49.89 ± 1.66 / 36.38 ± 2.21@@49.89,43.82 ± 0.83 / 71.69 ± 0.40@@43.82,69.85 ± 1.71 / 50.40 ± 2.04@@69.85,59.41 ± 0.88 / 69.52 ± 0.66@@59.41,87.41 ± 2.87 / 93.79 ± 1.36@@87.41,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.70@@1.70,?,256128.0,1048576.0,✓,✗,47.64 ± 2.74 / 62.41 ± 1.95@@47.64,55.70 ± 3.23 / 38.22 ± 2.40@@55.70,36.12 ± 4.46 / 67.85 ± 2.24@@36.12,64.00 ± 1.33 / 41.91 ± 1.23@@64.00,75.08 ± 1.71 / 81.52 ± 1.25@@75.08,78.13 ± 3.81 / 89.30 ± 1.73@@78.13,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.71@@1.71,70553706496.0,128256.0,131072.0,✓,✗,51.58 ± 1.59 / 67.89 ± 0.98@@51.58,62.80 ± 1.86 / 44.03 ± 2.07@@62.80,30.16 ± 1.16 / 64.01 ± 0.79@@30.16,67.65 ± 1.23 / 44.35 ± 1.62@@67.65,63.06 ± 0.98 / 72.26 ± 0.73@@63.06,80.24 ± 2.11 / 90.23 ± 1.00@@80.24,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,1.71@@1.71,81324862720.0,151936.0,262144.0,✓,✗,49.47 ± 1.18 / 65.42 ± 1.05@@49.47,55.54 ± 1.64 / 36.84 ± 2.31@@55.54,36.70 ± 1.79 / 67.92 ± 1.03@@36.70,64.59 ± 0.94 / 41.92 ± 1.20@@64.59,65.57 ± 0.57 / 74.19 ± 0.41@@65.57,87.85 ± 2.48 / 94.02 ± 1.18@@87.85,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.74@@1.74,?,?,1047576.0,✓,✗,44.90 ± 1.69 / 63.41 ± 1.22@@44.90,42.67 ± 1.93 / 23.54 ± 1.39@@42.67,46.08 ± 3.96 / 70.53 ± 2.18@@46.08,59.21 ± 1.22 / 32.40 ± 1.62@@59.21,73.70 ± 2.27 / 80.43 ± 1.72@@73.70,87.23 ± 5.55 / 93.68 ± 2.72@@87.23,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.76@@1.76,27432406640.0,262144.0,?,✓,✗,51.39 ± 1.16 / 68.30 ± 0.73@@51.39,51.06 ± 2.50 / 43.07 ± 2.40@@51.06,40.08 ± 1.70 / 69.72 ± 0.90@@40.08,61.34 ± 1.52 / 36.85 ± 1.83@@61.34,55.03 ± 0.73 / 66.18 ± 0.54@@55.03,92.21 ± 2.87 / 96.14 ± 1.41@@92.21,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.77@@1.77,70553706496.0,128256.0,131072.0,✓,✗,50.87 ± 1.28 / 67.57 ± 0.81@@50.87,61.65 ± 1.84 / 42.55 ± 2.45@@61.65,29.49 ± 1.60 / 63.19 ± 1.30@@29.49,65.62 ± 1.24 / 42.94 ± 1.50@@65.62,64.96 ± 0.75 / 73.72 ± 0.57@@64.96,78.03 ± 3.35 / 89.09 ± 1.70@@78.03,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.77@@1.77,72706203648.0,152064.0,32768.0,✗,✗,45.54 ± 3.77 / 63.68 ± 2.69@@45.54,59.46 ± 3.42 / 41.00 ± 3.22@@59.46,31.96 ± 2.38 / 64.91 ± 0.84@@31.96,65.86 ± 1.73 / 41.06 ± 1.89@@65.86,66.07 ± 2.14 / 74.65 ± 1.54@@66.07,77.12 ± 2.72 / 88.77 ± 1.38@@77.12,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.77@@1.77,70553706496.0,128256.0,131072.0,✓,✗,51.96 ± 1.53 / 68.51 ± 1.00@@51.96,66.65 ± 0.94 / 57.68 ± 1.51@@66.65,25.08 ± 1.61 / 60.50 ± 2.65@@25.08,72.11 ± 2.61 / 53.74 ± 3.49@@72.11,53.30 ± 0.85 / 64.80 ± 0.66@@53.30,78.96 ± 2.83 / 89.39 ± 1.45@@78.96,16.5.0.dev0@@160500,16.0.0.dev0@@160000,16.5.0.dev0@@160500,16.0.0.dev0@@160000,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.80@@1.80,24011361280.0,131072.0,?,✓,✗,51.25 ± 2.43 / 66.91 ± 1.79@@51.25,61.71 ± 2.22 / 45.90 ± 1.87@@61.71,30.29 ± 1.59 / 62.86 ± 1.43@@30.29,72.50 ± 2.64 / 52.22 ± 3.67@@72.50,47.16 ± 0.51 / 60.21 ± 0.41@@47.16,78.17 ± 5.03 / 89.17 ± 2.49@@78.17,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.82@@1.82,70553706496.0,128256.0,131072.0,✓,✗,50.31 ± 1.48 / 66.39 ± 1.00@@50.31,60.97 ± 1.96 / 41.47 ± 1.63@@60.97,29.50 ± 1.84 / 62.17 ± 2.12@@29.50,61.67 ± 1.11 / 37.02 ± 1.32@@61.67,58.38 ± 0.81 / 68.80 ± 0.62@@58.38,80.51 ± 3.95 / 90.30 ± 2.00@@80.51,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,1.83@@1.83,81324862720.0,151936.0,262144.0,✓,✗,48.11 ± 1.37 / 62.40 ± 1.04@@48.11,67.52 ± 1.26 / 53.94 ± 2.66@@67.52,18.27 ± 1.93 / 50.63 ± 1.14@@18.27,52.13 ± 1.01 / 31.83 ± 1.46@@52.13,76.68 ± 0.61 / 82.51 ± 0.45@@76.68,84.27 ± 4.41 / 92.20 ± 2.19@@84.27,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.83@@1.83,24011361280.0,131072.0,8192.0,✓,✗,52.86 ± 1.72 / 68.55 ± 1.19@@52.86,59.80 ± 2.09 / 47.20 ± 1.82@@59.80,29.64 ± 1.85 / 62.74 ± 1.83@@29.64,69.20 ± 2.42 / 46.00 ± 2.94@@69.20,46.25 ± 0.95 / 59.54 ± 0.74@@46.25,75.72 ± 5.96 / 87.88 ± 3.05@@75.72,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.83@@1.83,24261800960.0,131072.0,8192.0,✓,✗,48.11 ± 2.76 / 63.91 ± 2.63@@48.11,64.05 ± 1.87 / 51.28 ± 2.11@@64.05,29.20 ± 1.97 / 64.07 ± 1.26@@29.20,68.76 ± 2.65 / 49.98 ± 3.42@@68.76,47.72 ± 1.09 / 60.52 ± 0.81@@47.72,78.97 ± 5.36 / 89.47 ± 2.67@@78.97,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400
