<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=15 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
"<a href='https://platform.openai.com/docs/models/gpt-5.4'>openai/gpt-5.4-2026-03-05#none (zero-shot, val)</a>",🤔,1.72@@1.72,?,?,?,1050000.0,✓,✗,56.41 ± 1.26 / 66.88 ± 0.94@@56.41,54.26 ± 1.74 / 46.32 ± 1.48@@54.26,49.65 ± 1.69 / 74.78 ± 0.84@@49.65,66.23 ± 0.68 / 37.21 ± 0.68@@66.23,28.94 ± 0.17 / 33.69 ± 0.17@@28.94,36.43 ± 3.40 / 52.83 ± 2.69@@36.43,64.85 ± 1.02 / 81.88 ± 0.56@@64.85,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.75@@1.75,3.34,?,?,1047576.0,✓,✗,60.25 ± 2.28 / 69.60 ± 2.11@@60.25,41.56 ± 3.00 / 28.07 ± 1.90@@41.56,52.89 ± 3.84 / 75.61 ± 1.97@@52.89,58.63 ± 1.74 / 24.70 ± 1.76@@58.63,31.32 ± 0.32 / 35.22 ± 0.34@@31.32,38.98 ± 4.93 / 54.33 ± 3.90@@38.98,76.58 ± 3.91 / 88.24 ± 1.95@@76.58,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.78@@1.78,1.86,?,?,131072.0,✓,✗,60.38 ± 1.49 / 69.86 ± 1.14@@60.38,45.84 ± 1.88 / 37.84 ± 1.58@@45.84,39.60 ± 1.32 / 69.13 ± 0.68@@39.60,63.26 ± 0.78 / 36.87 ± 0.82@@63.26,29.76 ± 0.17 / 33.67 ± 0.17@@29.76,36.98 ± 2.14 / 53.00 ± 1.70@@36.98,82.16 ± 0.77 / 90.94 ± 0.41@@82.16,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-4-31B-it'>google/gemma-4-31B-it (val)</a>,📝,1.85@@1.85,0.25,31273088876.0,262144.0,8192.0,✓,✗,62.19 ± 1.37 / 71.46 ± 1.05@@62.19,58.07 ± 1.77 / 51.81 ± 1.39@@58.07,42.69 ± 1.51 / 71.15 ± 0.74@@42.69,67.21 ± 0.44 / 34.48 ± 0.54@@67.21,31.00 ± 0.22 / 33.76 ± 0.24@@31.00,21.22 ± 2.79 / 41.67 ± 1.83@@21.22,72.03 ± 1.20 / 85.82 ± 0.60@@72.03,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07 (zero-shot, val)</a>",🤔,1.85@@1.85,?,?,100256.0,272000.0,✓,✗,58.65 ± 2.98 / 68.66 ± 2.01@@58.65,39.27 ± 3.39 / 25.95 ± 1.63@@39.27,46.35 ± 4.02 / 72.34 ± 1.99@@46.35,62.52 ± 1.17 / 36.06 ± 1.21@@62.52,29.18 ± 0.34 / 33.60 ± 0.36@@29.18,39.52 ± 4.76 / 56.00 ± 3.45@@39.52,77.49 ± 2.15 / 88.71 ± 1.10@@77.49,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.87@@1.87,?,?,256128.0,1048576.0,✓,✗,58.15 ± 2.20 / 67.93 ± 1.55@@58.15,44.20 ± 3.00 / 29.01 ± 1.47@@44.20,46.21 ± 2.52 / 71.82 ± 1.19@@46.21,64.50 ± 1.44 / 36.78 ± 1.63@@64.50,29.37 ± 0.39 / 34.05 ± 0.42@@29.37,34.07 ± 4.43 / 49.67 ± 3.54@@34.07,64.39 ± 3.25 / 81.99 ± 1.63@@64.39,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.88@@1.88,14.28,?,?,?,✓,✗,63.06 ± 2.73 / 70.40 ± 2.24@@63.06,50.51 ± 3.34 / 34.76 ± 2.02@@50.51,46.89 ± 2.35 / 72.16 ± 1.33@@46.89,68.04 ± 1.15 / 36.70 ± 1.81@@68.04,28.75 ± 0.36 / 33.74 ± 0.37@@28.75,31.11 ± 6.73 / 49.00 ± 5.09@@31.11,61.92 ± 2.57 / 80.90 ± 1.31@@61.92,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.04@@2.04,1.59,27432406640.0,262144.0,?,✓,✗,64.43 ± 0.98 / 73.95 ± 0.59@@64.43,50.42 ± 2.22 / 39.16 ± 1.91@@50.42,44.41 ± 1.71 / 71.52 ± 0.83@@44.41,64.78 ± 1.14 / 39.61 ± 2.01@@64.78,32.33 ± 0.16 / 35.47 ± 0.15@@32.33,15.61 ± 2.02 / 36.20 ± 1.45@@15.61,57.93 ± 1.02 / 78.87 ± 0.53@@57.93,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.0.1.dev0@@160001,15.16.0.dev0@@151600
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,2.05@@2.05,38.89,?,?,400000.0,✓,✗,58.12 ± 1.04 / 69.07 ± 0.84@@58.12,46.43 ± 1.74 / 23.23 ± 0.71@@46.43,48.19 ± 1.73 / 73.23 ± 1.02@@48.19,67.55 ± 0.68 / 39.98 ± 0.66@@67.55,29.63 ± 0.17 / 33.95 ± 0.18@@29.63,29.71 ± 3.90 / 46.00 ± 2.83@@29.71,38.55 ± 1.70 / 69.18 ± 0.84@@38.55,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.09@@2.09,1.53,70553706496.0,128256.0,131072.0,✓,✗,63.89 ± 1.00 / 73.56 ± 0.75@@63.89,55.71 ± 1.68 / 34.06 ± 2.48@@55.71,30.35 ± 1.21 / 59.00 ± 2.17@@30.35,61.29 ± 1.26 / 33.66 ± 1.38@@61.29,32.83 ± 0.08 / 35.38 ± 0.16@@32.83,16.04 ± 2.99 / 36.68 ± 2.15@@16.04,62.11 ± 1.01 / 81.00 ± 0.52@@62.11,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,<9.2.0@@0,16.0.1.dev0@@160001,16.0.0.dev0@@160000
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.10@@2.10,32.77,70553706496.0,128256.0,131072.0,✓,✗,62.92 ± 0.65 / 72.99 ± 0.57@@62.92,55.77 ± 1.59 / 34.31 ± 2.09@@55.77,26.94 ± 2.29 / 62.49 ± 1.74@@26.94,66.49 ± 0.79 / 40.17 ± 1.32@@66.49,32.71 ± 0.16 / 35.72 ± 0.22@@32.71,16.15 ± 2.60 / 36.26 ± 1.89@@16.15,59.77 ± 1.27 / 79.89 ± 0.63@@59.77,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,2.11@@2.11,N/A,70553706496.0,128256.0,131072.0,✓,✗,58.27 ± 2.69 / 69.19 ± 2.03@@58.27,57.15 ± 2.38 / 43.60 ± 3.10@@57.15,29.96 ± 1.37 / 59.16 ± 2.32@@29.96,74.85 ± 1.11 / 54.77 ± 2.24@@74.85,26.25 ± 2.93 / 27.63 ± 3.32@@26.25,21.62 ± 2.59 / 41.26 ± 1.60@@21.62,57.29 ± 1.56 / 78.46 ± 0.77@@57.29,16.5.0.dev0@@160500,16.0.0.dev0@@160000,16.5.0.dev0@@160500,16.0.0.dev0@@160000,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,2.11@@2.11,?,?,?,?,✓,✗,26.43 ± 3.01 / 44.18 ± 2.52@@26.43,47.99 ± 3.28 / 40.86 ± 2.69@@47.99,36.62 ± 3.81 / 64.86 ± 1.63@@36.62,68.32 ± 0.81 / 37.93 ± 1.29@@68.32,30.12 ± 0.35 / 33.20 ± 0.35@@30.12,37.27 ± 5.38 / 53.67 ± 3.92@@37.27,61.77 ± 2.13 / 79.96 ± 1.15@@61.77,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.13@@2.13,0.18,22637328384.0,128000.0,32768.0,✓,✗,62.13 ± 0.87 / 71.49 ± 0.64@@62.13,51.31 ± 1.40 / 27.86 ± 1.30@@51.31,51.64 ± 2.74 / 74.59 ± 2.57@@51.64,34.11 ± 2.60 / 16.43 ± 2.14@@34.11,30.87 ± 2.12 / 33.77 ± 2.63@@30.87,27.27 ± 2.40 / 44.58 ± 1.81@@27.27,36.69 ± 1.41 / 67.92 ± 0.81@@36.69,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,2.16@@2.16,?,24011361280.0,131072.0,?,✓,✗,61.82 ± 1.32 / 71.64 ± 1.11@@61.82,56.26 ± 1.45 / 38.80 ± 1.86@@56.26,26.67 ± 1.60 / 55.63 ± 2.07@@26.67,74.85 ± 1.40 / 54.46 ± 2.10@@74.85,31.88 ± 0.33 / 34.64 ± 0.52@@31.88,14.52 ± 2.09 / 35.08 ± 1.50@@14.52,43.96 ± 1.22 / 71.96 ± 0.60@@43.96,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.1.1.dev0@@160101,15.16.0.dev0@@151600
<a href='https://hf.co/google/gemma-4-26B-A4B-it'>google/gemma-4-26B-A4B-it (val)</a>,📝,2.18@@2.18,0.0,25805936206.0,262144.0,8192.0,✓,✗,62.78 ± 1.58 / 71.90 ± 1.22@@62.78,52.40 ± 1.68 / 48.17 ± 1.67@@52.40,36.51 ± 2.11 / 68.02 ± 1.05@@36.51,65.98 ± 0.56 / 33.46 ± 0.58@@65.98,30.32 ± 0.24 / 33.67 ± 0.20@@30.32,14.22 ± 2.31 / 36.33 ± 1.81@@14.22,43.83 ± 1.25 / 71.84 ± 0.64@@43.83,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.19@@2.19,N/A,27432406640.0,262144.0,8192.0,✓,✗,54.26 ± 2.79 / 66.06 ± 2.08@@54.26,57.31 ± 1.92 / 42.46 ± 3.31@@57.31,35.51 ± 4.50 / 63.52 ± 4.43@@35.51,74.74 ± 1.59 / 54.03 ± 2.48@@74.74,24.37 ± 2.74 / 24.98 ± 3.06@@24.37,18.80 ± 2.37 / 38.60 ± 1.86@@18.80,55.65 ± 2.33 / 77.59 ± 1.23@@55.65,16.5.0.dev0@@160500,15.16.0.dev0@@151600,16.5.0.dev0@@160500,15.16.0.dev0@@151600,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,2.19@@2.19,?,24261800960.0,131072.0,8192.0,✓,✗,55.93 ± 2.29 / 66.82 ± 1.95@@55.93,57.89 ± 1.94 / 42.41 ± 2.68@@57.89,24.57 ± 1.74 / 49.77 ± 2.20@@24.57,72.28 ± 2.11 / 51.70 ± 2.55@@72.28,30.81 ± 0.88 / 33.05 ± 1.21@@30.81,17.53 ± 2.51 / 37.58 ± 1.84@@17.53,47.20 ± 1.03 / 73.57 ± 0.53@@47.20,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.15.0.dev0@@161500,16.3.0.dev0@@160300,16.3.0.dev0@@160300
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,2.23@@2.23,3.51,?,?,400000.0,✓,✗,57.55 ± 1.11 / 67.18 ± 0.82@@57.55,35.37 ± 1.15 / 25.14 ± 0.90@@35.37,48.69 ± 1.58 / 73.44 ± 0.78@@48.69,60.02 ± 0.88 / 28.11 ± 0.85@@60.02,27.06 ± 0.17 / 32.25 ± 0.17@@27.06,22.45 ± 2.52 / 41.33 ± 2.08@@22.45,57.66 ± 1.96 / 78.67 ± 1.00@@57.66,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,2.24@@2.24,14.91,32762123264.0,151936.0,40960.0,✓,✗,61.69 ± 1.27 / 72.22 ± 0.96@@61.69,48.25 ± 0.99 / 33.71 ± 1.18@@48.25,35.49 ± 1.59 / 67.50 ± 0.82@@35.49,70.94 ± 1.44 / 50.15 ± 2.04@@70.94,31.79 ± 0.15 / 35.00 ± 0.16@@31.79,13.00 ± 2.10 / 34.32 ± 1.62@@13.00,43.36 ± 1.06 / 71.39 ± 0.54@@43.36,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.15.0.dev0@@161500,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,2.24@@2.24,0.9,72706203648.0,152064.0,32768.0,✓,✗,57.23 ± 1.14 / 68.92 ± 0.95@@57.23,53.88 ± 1.76 / 33.03 ± 2.59@@53.88,25.15 ± 1.90 / 62.11 ± 1.09@@25.15,72.35 ± 1.21 / 48.79 ± 2.66@@72.35,31.66 ± 0.09 / 35.05 ± 0.09@@31.66,13.58 ± 2.06 / 34.44 ± 1.31@@13.58,52.37 ± 1.56 / 76.17 ± 0.77@@52.37,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,16.4.0.dev0@@160400,<9.2.0@@0,16.4.0.dev0@@160400,16.4.0.dev0@@160400
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.25@@2.25,?,?,100256.0,272000.0,✓,✗,54.26 ± 2.22 / 65.39 ± 2.04@@54.26,55.07 ± 3.37 / 52.33 ± 3.27@@55.07,35.97 ± 3.03 / 67.90 ± 1.50@@35.97,61.78 ± 1.93 / 34.16 ± 2.28@@61.78,25.89 ± 0.34 / 31.07 ± 0.35@@25.89,20.27 ± 4.30 / 40.83 ± 3.13@@20.27,50.63 ± 2.81 / 75.31 ± 1.37@@50.63,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.15.0.dev0@@161500,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,2.27@@2.27,?,70553706496.0,128256.0,?,✓,✗,57.48 ± 1.84 / 68.72 ± 1.45@@57.48,54.70 ± 1.82 / 33.36 ± 2.38@@54.70,23.03 ± 1.90 / 60.58 ± 1.45@@23.03,67.30 ± 0.95 / 41.08 ± 1.05@@67.30,31.29 ± 0.59 / 33.30 ± 0.72@@31.29,16.20 ± 1.95 / 36.76 ± 1.45@@16.20,47.76 ± 1.59 / 73.81 ± 0.79@@47.76,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,<9.2.0@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
